"Head","310","Government  Factory","","",""
"","","Programme  01","Operational  Activities","68,676,000","21,550,000"
"","","Programme  02","Development  Activities","34,338,000","33,850,000"
"","","Ministry  of  Social  Empowerment  and  Welfare","","",""
"","","Recurrent","14,148,982,000","",""
"","","Capital","","2,100,630,000",""
"Made  up  as  follows:-","","","","",""
"Head","124","Minister  of  Social  Empowerment  and  Welfare","","",""
"","","Programme  01","Operational  Activities","635,525,000","104,350,000"
"","","Programme  02","Development  Activities","200,528,000","580,480,000"
"Head","216","Department  of  Social  Services","","",""
"","","Programme  01","Operational  Activities","32,844,000","4,100,000"
"","","Programme  02","Development  Activities","460,080,000","175,000,000"
"Head","331","Department  of  Divineguma  Development","","","Appropriation Act, No. 24 of 2016"
"","","Programme  01","Operational  Activities","386,933,000","11,700,000"
"","","Programme  02","Development  Activities","12,433,072,000","1,225,000,000"
"","","Ministry  of  Education","","",""
"","","Recurrent","","36,243,069,000",""
"","","Capital","","40,700,650,000",""
"Made  up  as  follows:-","","","","",""
"Head","126","Minister  of  Education","","",""
"","","Programme  01","Operational  Activities","1,525,004,000","731,250,000"
"","","Programme  02","Development  Activities","30,580,455,000","38,794,000,000"
"Head","207","Department  of  Archaeology","","",""
"","","Programme  01","Operational  Activities","132,065,000","7,500,000"
"","","Programme  02","Development  Activities","725,366,000","21
58,600,000"
