"","I","II","III
IV","V"
"SRL","Ministries / Departments
Item
Activities of the Government","Maximum","Minimum
Maximum","Maximum"
"No.","No.","Limits of","Limits of
Limits of","Limits of"
"","","Expenditure","Receipts  to  be Debit Balance","Liabilities"
"","","of Activities","credited  to  the
of Activities","of Activities"
"","","of the","Accounts  of
of  the","of the"
"","","Government","Activities  of the
Government","Government"
"","","","Government",""
"","","Rs.","Rs.
Rs.","Rs."
"7 7","Department  of  Hindu  Religious","","",""
"","and  Cultural  Afairs
20401 Advances  to  Public  Officers","6,000,000","2,500,000
20,000,000","—"
"7 8","Department  of  Public  Trustee
20501 Advances  to  Public  Officers","3,500,000","1,800,000
11,000,000","—"
"7 9","Department  of  Cultural  Affairs
20601 Advances  to  Public  Officers","27,000,000","13,000,000
70,000,000","—"
"8 0","Department  of  Archaeology
20701 Advances  to  Public  Officers","45,000,000","35,000,000 150,000,000","—"
"8 1","Deparatment  of  National  Museums 20801 Advances  to  Public  Officers","15,000,000","8,000,000
49,000,000","—"
"8 2","Department  of  National  Archives
20901 Advances  to  Public  Officers","7,000,000","3,500,000
25,000,000","—"
"8 3","Department  of  Information
21001 Advances  to  Public  Officers","12,000,000","7,500,000
40,000,000","—"
"8 4","Department  of  Government","","",""
"","Printer
21101 Advances  to  Public  Officers","70,000,000","50,000,000 350,000,000","—"
"8 5","Department  of  Examinations
21201 Advances  to  Public  Officers","35,000,000","20,000,000 100,000,000","—"
"8 6","Deparatment  of  Educational","","",""
"","Publications
21301 Advances  to  Public  Officers","18,000,000","6,500,000
42,000,000","—"
"8 7","Deparatment  of  Educational
21302 Printing  Publicity  and","","",""
"","Publications
Sales  of  Publications","4,300,000,000     4,300,000,000    8,000,000,000  3,000,000,000","",""
