"Head
332","Department  of  National  Community  Water  Supply","","","",""
"Programme  01","Operational  Activities","","142,978,000","104,300,000",""
"Ministry  of  Special  Assignments","","","","",""
"Recurrent","","65,169,000","","",""
"Capital","","53,085,000","","",""
"Made  up  as  follows:-","","","","",""
"Minister  of  Special  Assignments
Head
167","","","","",""
"Programme  01","Operational  Activities","","65,169,000","53,085,000",""
"Ministry  of  Ports  and  Shipping","","","","",""
"Recurrent","","255,255,000","","",""
"Capital","","2,107,700,000","","",""
"Made  up  as  follows:-","","","","","Appropriation Act, No. 24 of 2016"
"Minister  of  Ports  and  Shipping
Head
176","","","","",""
"Programme  01","Operational  Activities","","255,255,000","17,000,000",""
"Programme  02","Development  Activities","","—","2,090,700,000",""
"Ministry  of  Foreign  Employment","","","","",""
"Recurrent","","613,622,000","","",""
"Capital","","81,400,000","","",""
"Made  up  as  follows:-","","","","",""
"Minister  of  Foreign  Employment
Head
182","","","","",""
"Programme  01","Operational  Activities","","63,050,000","4,400,000",""
"Programme  02","Development  Activities","","550,572,000","77,000,000","33"
