"","","I","II","III
IV","V"
"SRL","Ministries / Departments","Item
Activities of the Government","Maximum","Minimum
Maximum","Maximum"
"No.","","No.","Limits of","Limits of
Limits of","Limits of"
"","","","Expenditure","Receipts  to  be Debit Balance","Liabilities"
"","","","of Activities","credited  to  the
of Activities","of Activities"
"","","","of the","Accounts  of
of  the","of the"
"","","","Government","Activities  of the
Government","Government"
"","","","","Government",""
"","","","Rs.","Rs.
Rs.","Rs."
"127","Department  of  State  Accounts","25003 Miscellaneous  Advances","10,000,000","2,500,000   350,000,000","—"
"128","Department  of  Valuation","25101 Advances  to  Public  Officers","29,000,000","19,000,000
  88,000,000","—"
"129","Department  of  Census  and","","","",""
"","Statistics","25201 Advances  to  Public  Officers","48,000,000","30,000,000 240,000,000","—"
"130","Department  of  Pensions","25301 Advances  to  Public  Officers","45,000,000","28,000,000 160,000,000","—"
"131","Department  of  Registrar  General","25401 Advances  to  Public  Officers","62,000,000","50,000,000   230,000,000","—"
"132","District  Secretariat,  Colombo","25501 Advances  to  Public  Officers","58,000,000","43,000,000 220,000,000","—"
"133","District  Secretariat,  Gampaha","25601 Advances  to  Public  Officers 103,000,000","","80,000,000 246,000,000","—"
"134","District  Secretariat,  Kalutara","25701 Advances  to  Public  Officers","87,000,000","62,000,000   320,000,000","—"
"135","District  Secretariat,  Kandy","25801 Advances  to  Public  Officers","75,000,000","60,000,000   250,000,000","—"
"136","District  Secretariat,  Matale","25901 Advances  to  Public  Officers","60,000,000","38,000,000   170,000,000","—"
"137","District  Secretariat,  Nuwara-Eliya","26001 Advances  to  Public  Officers","32,000,000","22,000,000
94,000,000","—"
"138","District  Secretariat,  Galle","26101 Advances  to  Public  Officers","65,000,000","55,000,000 230,000,000","—"
"139","District  Secretariat,  Matara","26201 Advances  to  Public  Officers","62,000,000","55,000,000   250,000,000","—"
"140","District  Secretariat,  Hambantota","26301 Advances  to  Public  Officers","73,000,000","51,000,000   212,000,000","—"
