"","Ministry  of  National  Co-existance,  Dialogue  and  Offical  Languages","","","",""
"Recurrent","","485,093,000","","",""
"Capital","","191,500,000","","",""
"Made  up  as  follows:-","","","","",""
"Head
157","Minister  of  National  Co-existance,  Dialogue  and  Offical  Languages","","","",""
"Programme  01","Operational  Activities","","350,461,000","158,150,000",""
"Head
236","Department  of  Official  Languages","","","",""
"Programme  01","Operational  Activities","","134,632,000","33,350,000",""
"","Ministry  of  Public  Enterprise  Development","","","",""
"Recurrent","","275,092,000","","",""
"Capital","","157,200,000","","",""
"Made  up  as  follows:-","","","","","Appropriation Act, No. 24 of 2016"
"Head
158","Minister  of  Public  Enterprise  Development","","","",""
"Programme  01","Operational  Activities","","216,892,000","65,200,000",""
"Programme  02","Development  Activities","","58,200,000","92,000,000",""
"","Ministry  of  Tourism  Development  and  Christian  Religious  Affairs","","","",""
"Recurrent","","192,062,000","","",""
"Capital","","662,970,000","","",""
"Made  up  as  follows:-","","","","",""
"Head
159","Minister  of  Tourism  Development  and  Christian  Religious  Affairs","","","",""
"Programme  01","Operational  Activities","","129,883,000","12,800,000",""
"Programme  02","Development  Activities","","-","618,000,000","29"
