"","","Ministry  of  Telecommunication  and  Digital  Infrastructure","","",""
"","","Recurrent","","133,660,000",""
"","","Capital","2,320,010,000","",""
"Made  up  as  follows:-","","","","",""
"Head","194","","Minister  of  Telecommunication  and  Digital  Infrastructure","",""
"","","Programme  01","Operational  Activities","122,302,000","20,300,000"
"","","Programme  02","Development  Activities","11,358,000","2,299,710,000"
"","","","Ministry  of  Development  Strategies  and  International  Trade","",""
"","","Recurrent","","602,660,000",""
"","","Capital","","352,650,000",""
"Made  up  as  follows:-","","","","",""
"Head","195","","Minister  of  Development  Strategies  and  International  Trade","","Appropriation Act, No. 24 of 2016"
"","","Programme  01","Operational  Activities","227,833,000","79,600,000"
"","","Programme  02","Development  Activities","318,936,000","261,000,000"
"Head","296","Department  of    Import  and  Export  Control","","",""
"","","Programme  01","Operational  Activities","55,891,000","12,050,000"
"","","Ministry  of  Science,Technology  &  Research","","",""
"","","Recurrent","1,782,310,000","",""
"","","Capital","2,494,625,000","",""
"Made  up  as  follows:-","","","","",""
"Head","196","Minister  of  Science,Technology  &  Research","","",""
"","","Programme  01","Operational  Activities","219,366,000","11,275,000"
"","","Programme  02","Development  Activities","1,562,944,000","35
2,483,350,000"
