"","","THIRD  SCHEDULE  -  ESTIMATE  -  2017","","","",""
"","","Limits  of  Advance  Account  Activities","","","",""
"","","I","II","III","IV","V"
"SRL","Ministries / Departments","Item
Activities of the Government","Maximum","Minimum","Maximum","Maximum"
"No.","","No.","Limits of","Limits of","Limits of","Limits of"
"","","","Expenditure","Receipts  to  be Debit Balance","","Liabilities"
"","","","of Activities","credited  to  the","of Activities","of Activities"
"","","","of the","Accounts  of","of  the","of the"
"","","","Government","Activities  of the","Government","Government"
"","","","","Government","",""
"","","","Rs.","Rs.","Rs.","Rs."
"1","His  Excellency  the  President","00101 Advances  to  Public  Officers","32,000,000","18,000,000 100,000,000","","—"
"2","Office  of  the  Prime  Minister","00201 Advances  to  Public  Officers","16,000,000","9,000,000","45,000,000","—"
"3","Judges  of  the  Superior  Courts","00401 Advances  to  Public  Officers","3,200,000","500,000","5,000,000","—"
"4","Office  of  the  Cabinet  of  Ministers","00501 Advances  to  Public  Officers","3,500,000","2,300,000","25,000,000","—"
"5","Public  Service  Commission","00601 Advances  to  Public  Officers","8,000,000","3,500,000","35,000,000","—"
"6","Judicial  Service  Commission","00701 Advances  to  Public  Officers","3,300,000","1,400,000","20,000,000","—"
"7","National  Police  Commission","00801 Advances  to  Public  Officers","2,500,000","1,300,000","7,000,000","—"
"8","Administrative  Appeals  Tribunal","00901 Advances  to  Public  Officers","1,300,000","400,000","2,500,000","—"
"9","Commision  to  Investigate","","","","",""
"","Allegations  of  Bribery  or","","","","",""
"","Corruption","01001 Advances  to  Public  Officers","7,500,000","5,000,000","30,000,000","—"
"1 0","Commision  to  Investigate","01002 Advancing  moneys  to  be","","","",""
