"8 8","Department  of  Technical","","","","",""
"","Education  and  Training","21501 Advances  to  Public  Officers","60,000,000","55,000,000 200,000,000","","—"
"8 9","Department  of  Social  Services","21601 Advances  to  Public  Officers","20,000,000","15,000,000","95,000,000","—"
"9 0","Department  of  Probation  and","","","","",""
"","Child  Care  Services","21701 Advances  to  Public  Officers","16,000,000","8,800,000","58,000,000","—"
"9 1","Department  of  Sports","","","","",""
"","Development","21901 Advances  to  Public  Officers","12,000,000","7,000,000","34,000,000","—"
"9 2","Department  of  Ayurveda","22001 Advances  to  Public  Officers","50,000,000","33,000,000 190,000,000","","—"
"9 3","Deparatment  of  Labour","22101 Advances  to  Public  Officers","75,000,000","60,000,000 265,000,000","","—"
"9 4","Sri  Lanka  Army","22201 Advances  to  Public  Officers","3,300,000,000","2,828,000,000","4,542,000,000","—"
"9 5","Sri  Lanka  Navy","","22301 Advances  to  Public  Officers  625,000,000 570,000,000 910,000,000","","","—"
"9 6","Sri  Lanka  Navy","22302 Stores  Advance  Account","","","",""
"","","(Explosive  items)","450,000,000 460,000,000 360,000,000","","","—"
"9 7","Sri  Lanka  Air  Force","22401 Advances  to  Public  Officers","550,000,000","490,000,000","1,000,000,000","—"
"9 8","Department  of  Police","22501 Advances  to  Public  Officers","1,200,000,000","1,450,000,000","2,900,000,000","—"
"9 9","Department  of  Immigration","","","","",""
"","and  Emigration","22601 Advances  to  Public  Officers","35,000,000","30,000,000 140,000,000","","—"
"100","Department  of  Registration  of","","","","",""
"","Persons","22701 Advances  to  Public  Officers","35,000,000","22,000,000","70,000,000","—"
"101","Courts  Administration","22801 Advances  to  Public  Officers","475,000,000","280,000,000","1,400,000,000","—"
