"141","District  Secretariat/  Kachcheri,","","","",""
"","Jaffna","26401 Advances  to  Public  Officers","65,000,000","46,000,000   200,000,000","—"
"142","District  Secretariat/  Kachcheri,","","","",""
"","Mannar","26501 Advances  to  Public  Officers","17,000,000","10,000,000
50,000,000","—"
"143","District  Secretariat/  Kachcheri,","","","",""
"","Vavuniya","26601 Advances  to  Public  Officers","16,000,000","12,000,000
  50,000,000","—"
"144","District  Secretariat/  Kachcheri,","","","",""
"","Mullaitivu","26701 Advances  to  Public  Officers","17,500,000","10,000,000
  53,000,000","—"
"145","District  Secretariat/  Kachcheri,","","","",""
"","Killinochchi","26801 Advances  to  Public  Officers","15,000,000","11,000,000
  45,000,000","—"
"146","District  Secretariat/  Kachcheri,","","","",""
"","Batticaloa","26901 Advances  to  Public  Officers","44,000,000","28,000,000 125,000,000","—"
"147","District  Secretariat,  Ampara","27001 Advances  to  Public  Officers","70,000,000","49,000,000 240,000,000","—"
"148","District  Secretariat/  Kachcheri,","","","",""
"","Trincomalee","27101 Advances  to  Public  Officers","35,000,000","23,000,000 100,000,000","—"
"149","District  Secretariat,  Kurunegala","27201 Advances  to  Public  Officers 112,000,000","","88,000,000 300,000,000","—"
"150","District  Secretariat,  Puttalam","27301 Advances  to  Public  Officers","60,000,000","38,000,000 195,000,000","—"
"151","","District  Secretariat,  Anuradhapura 27401 Advances  to  Public  Officers","75,000,000","50,000,000 230,000,000","—"
"152","District  Secretariat,  Polonnaruwa","27501 Advances  to  Public  Officers","31,000,000","21,000,000 120,000,000","—"
"153","District  Secretariat,  Badulla","27601 Advances  to  Public  Officers","56,000,000","37,000,000 155,000,000","—"
"154","District  Secretariat,  Moneragala","27701 Advances  to  Public  Officers","37,000,000","35,000,000 125,000,000","—"
