"Head","297","Department  of  the  Registrar  of  Companies","",""
"","","Programme  01
Operational  Activities","50,997,000","—"
"Head","298","Department  of  Measurement  Units,  Standards  and  Services","",""
"","","Programme  01
Operational  Activities","103,062,000","70,000,000"
"Head","299","National  Intellectual  Property  Office  of  Sri  Lanka","",""
"","","Programme  01
Operational  Activities","29,294,000","—"
"Head","300","Department  of  Food  Commissioner","",""
"","","Programme  01
Operational  Activities","532,845,000","164,025,000"
"Head","301","Department  of  Co-operative  Development  (Registrar  of  Co-operative  Societies)","",""
"","","Programme  01
Operational  Activities","66,833,000","31,500,000"
"Head","302","Co-operative  Employees  Commission","",""
"","","Programme  01
Operational  Activities","16,208,000","1,700,000"
"Head","303","Department  of  Textile  Industries","",""
"","","Programme  02
Development  Activities","73,574,000","36,450,000"
