"189","Government  Factory","31002 Government  Factory","","",""
"","","Stores  Advance  Account
       120,000,000","120,000,000","40,000,000","20,000,000"
"190","Government  Factory","31003 Government  Factory  Work","","",""
"","","330,000,000
  Done  Advance  Account","350,000,000","220,000,000","5,000,000"
"191","Department  of  National  Physical","","","",""
"","Planning","31101 Advances  to  Public  Officers
12,000,000","8,000,000","50,000,000","—"
"192","Department  of  Civil  Security","781,500,000
32001 Advances  to  Public  Officers","325,000,000","1,000,000,000","—"
"193","Department  of  National","","","",""
"","Botanical  Gardens","32201 Advances  to  Public  Officers
25,000,000","17,000,000","82,000,000","—"
"194","Department  of  Legal  Affairs","32301 Advances  to  Public  Officers
1,000,000","200,000","3,000,000","—"
"195","Department  of  Management  Audit 32401 Advances  to  Public  Officers","4,500,000","2,000,000","10,000,000","—"
"196","Department  of  Community  Based","","","",""
"","Corrections","32601 Advances  to  Public  Officers
17,000,000","7,000,000","44,000,000","—"
"197","Department  of  Land  Use  Policy","","","",""
"","Planning","32701 Advances  to  Public  Officers
22,000,000","14,500,000","69,000,000","—"
"198","Department  of  Manpower  and","","","",""
"","Employment","32801 Advances  to  Public  Officers
18,000,000","11,000,000","55,000,000","—"
"199","Department  of  Information","","","",""
"","Technology  Management","32901 Advances  to  Public  Officers
2,000,000","500,000","7,000,000","—"
"200","Department  of  Divineguma","","","",""
"","Development","","33101 Advances  to  Public  Officers 350,000,000 300,000,000 600,000,000","","—"
"201","Department  of  National","","","",""
"","Community  Water  Supply","33201 Advances  to  Public  Officers
4,000,000","1,800,000","8,000,000","—"
"","Total","26,048,788,000","21,048,788,000","58,897,300,000","4,590,000,000."
