"114","Department  of  National  Budget","24001 Advances  to  Public  Officers","10,000,000","5,000,000
33,000,000","—"
"115","Deparatment  of  Public","","","",""
"","Enterprises","24101 Advances  to  Public  Officers","4,000,000","2,500,000
18,000,000","—"
"116","Department  of  Management","","","",""
"","Services","24201 Advances  to  Public  Officers","6,000,000","2,500,000
18,000,000","—"
"117","Department  of  Development","","","",""
"","Finance","24301 Advances  to  Public  Officers","3,500,000","850,000
13,000,000","—"
"118","Department  of  Trade  and","","","",""
"","Investment  Policy","24401 Advances  to  Public  Officers","3,500,000","1,400,000
12,000,000","—"
"119","Department  of  Public  Finance","24501 Advances  to  Public  Officers","4,000,000","1,800,000
18,000,000",""
"120","Department    of  Inland  Revenue","24601 Advances  to  Public  Officers 110,000,000","","77,000,000 415,000,000","—"
"121","Si  Lanka  Customs","24701 Advances  to  Public  Officers","45,000,000","42,000,000 310,000,000","—"
"122","Si  Lanka  Customs","24702 Expenses  in  Connection","","",""
"","","with  seized  and  forfeited","","",""
"","","goods","6,000,000","1,000,000
35,000,000","—"
"123","Department  of  Excise","24801 Advances  to  Public  Officers","42,000,000","32,000,000 177,000,000","—"
"124","Department  of  Treasury","","","",""
"","Operations","24901 Advances  to  Public  Officers","7,000,000","3,700,000
24,500,000","—"
"125","Department  of  State  Accounts","25001 Advances  to  Public  Officers","4,000,000","1,500,000
14,000,000","—"
"126","Department  of  State  Accounts","25002 Advances  for  Payments","","",""
"","","on  behalf  of  other","","",""
