"","","I fldgi: (I) fPoh – Y%S ,xld m%cd;dka;%sl iudcjd§ ckrcfha w;s úfYI .eiÜ m;%h – 2019'11'09",""
"PART  I:  SEC.  (I)  –  GAZETTE  EXTRAORDINARY  OF  THE  DEMOCRATIC  SOCIALIST  REPUBLIC  OF  SRI  LANKA  –  09.11.2019","","",""
"45.","G. S. M. Danthanarayana","77.","T. A. Malkanthi"
"46.","L. Samantha","78.","Yakdehige Nelka Lakmali"
"47.","A. M. C. Athukorala","79.","M. G. M. Jayanthi"
"48.","N. S. Navarathna","80.","U. G. S. Sooriyabandara"
"49.","P. D. S. M. Wickkramasingha","81.","U. D. Priyanka Udayakumari"
"50.","D. G. C. Malani","82.","H. N. S. Dayarathna"
"51.","K. R. Dhanushka","83.","Asha  Dhushshanthi  Halangoda"
"52.","Yakdehige Amila Anjana Silva","84.","K. P. Dilan Chathuranga"
"53.","Udahagedara Chithra Chandana Kumara","85.","B. A. L. Jayanthi"
"54.","K. M. Surangika Srimali","86.","M. G. R. Ariyarathna"
"55.","R. M. Sujith Priyantha","87.","Iresha Sandamali"
"56.","N. Erandhathi","88.","S. D. Ishan Milinda Perera"
"57.","P. Chaminda Silva","89.","B. Kanthani"
"58.","K. Dinusha Chaturanga Siriwardhana","90.","B. Kamadhini"
"59.","N. S. Silva","91.","M. M. Konsy"
"60.","C. P. S. Mohotti","92.","Viganage Nimesh Gayani Perera"
"61. M. G. Priyantha Bandara","","",""
"","","93.","R. M. Ishara Vimalarathna"
"62.","R. D. Priyanthi","",""
"","","94.","S. Thivakaran"
"63.","P. D. K. Vimalasena","",""
"64.","U. W. C. Kumari","",""
"65.","I. G. Sarath Dasanayaka","",""
"66.","A. A. Aruna Nayanananda","",""
"67.","T. Nadhisha Sandarenu","",""
"68.","Ilangasinghage Thakshila Sanjeevani Ilangasingha","",""
"69.","H. K. Hemantha Pushpakumara","",""
"70.","T. W. D. Dharshika Sajeevani","",""
"71.","T. G. K. Dhilanthi Priyadasa","",""
"72.","A. G. Gamini Wijesinghe","",""
"73.","K. H. I. Madhuvanthi","",""
"74.","B. Pushpa Kumara","",""
"75.","I. R. Madhusanka","",""
"76. W. M. P. A. Mahesh Kumara","","",""
