"","","Penal Code (Amendment)","3"
"169H","Failure  to  keep","three  hundred","one  hundred"
"","election  accounts","rupees","thousand  rupees"
"170","Absconding to avoid","fifty","fifty  thousand"
"","service of summons","rupees","rupees"
"","or  order  proceeding","",""
"","from  a  public  servant","",""
"","If  summons  or","one  hundred","fifty  thousand"
"","notice  require","rupees","rupees"
"","attendance  in  person,","",""
"","&c.,  in  a  Court","",""
"","of  Justice","",""
"171","Preventing  the","one  month,","six  months,"
"","service  or  the","or  with  fine","or  with  fine"
"","affixing  of  any","which  may","which  may"
"","summons  or  notice","extend  to","extend  to"
"","or  the  removal  of","fifty  rupees","twenty"
"","it  when  it  has","","thousand"
"","been  affixed,  or","","rupees"
"","preventing  a","",""
"","proclamation","",""
"","If  summons  &c.,","one  hundred","fifty  thousand"
"","require  attendance","rupees","rupees"
"","in  person,  &c.,  in","",""
"","a  Court  of  Justice","",""
"172","Not  obeying  a","one  month,","six  months,  or"
"","legal  order  to  attend","or  with  fine","with  fine"
"","at  a  certain  place  in","which  may","which  may"
"","person  or  by  agent,","extend  to","extend  to"
"","or  departing","fifty  rupees","twenty"
"","therefrom  without","","thousand"
"","authority","","rupees"
"","If  the  order  require","one  hundred","fifty  thousand"
"","personal  attendance,","rupees","rupees"
"","&c.,  in  a  Court","",""
"","of  Justice","",""
