"","","Modules to be offered for Gap- Filling",""
"","Module Title","Credits","Academic Year"
"ACU1401","","4",""
"Human Anatomy","","",""
"ACU1602","","6",""
"Human Physiology","","",""
"ACU1403","","4",""
"","","","Year 1"
"Biochemistry","","",""
"ACU1308","","3",""
"Epidemiology","","",""
"ACU1309","","3",""
"Nutrition and dietetics","","",""
"ACU2401","","4",""
"Microbiology and Parasitology","","",""
"ACU2503","","5",""
"Public Health","","",""
"ACU2405","","4",""
"","","","Year 2"
"Biostatistics","","",""
"ACU2306","","3",""
"Basic Medical, Psychiatric and Paediatric conditions","","",""
"ACU2108","","1",""
"Basic Surgical, Eye and ENT conditions","","",""
"ACU4804","","8",""
"","","","Year 4"
"Dissertation","","",""
