"24 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"","iv.   Adequate  measures must  be  taken to  protect  food  from  corrosion  when  storing, transporting,  presenting,"
"","and exposing food."
"","v.  
Should not  wear  or transport  food  items to  places  where  items  such  as  jewelry,  watches,  pins,  thorns,  or"
"","personal belongings are threatened."
"9.","No  person  shall  use  any  premises  intended  to  be  used  as  a  sleeping-place.  There  should  be  no  sleeping  area"
"","adjacent to the food preparation area unless there is room for intermittent ventilation."
"10.","Those dealing with food should have the skills to maintain food hygiene."
"","11. (1)   The containers or containers for the transportation of food in vehicles shall not be used for the transportation of"
"","goods other than food."
"","11. (2)   Where  the  means  of  transport  or  containers  are  used  for  the  transportation  of  other  non-food  items  or  other"
"","foodstuffs, the goods shall be properly reserved."
"","11. (3)   The transport media or containers used for the transportation of other non-food items or other foodstuffs shall"
"","not be used for the transportation of food without proper cleaning after such shipment. Separate containers must"
"","be used for the transportation of cooked food."
"12.","Food items in transport media or containers should be safely stored in a non-combustible manner."
"13.","Transport media or containers used to transport foodstuffs should be able to maintain foodstuffs at appropriate"
"","temperatures and be able to regulate such temperatures."
"14.","Important health messages relevant to employees and customers should be displayed in the premises."
"15.","All permits issued  under  this  By-Law  shall  expire  on  or after 31st  December  of  the  year  in  which the license"
"","was issued, unless previously revoked."
"16.","Every  Sinhala,  Tamil  and  English  copy  of  this  By-Law  shall  be  displayed  in  a  publicly  visible  place  in  every"
"","premises subject to a license under this By-Law."
"17.","Where the premises where a catering facility is issued under this By-Law is contrary to the provisions of any of"
"","the provisions of this By-Law, the Licensee shall comply with all such requirements to ensure that the place is in"
"","compliance with such regulations. The Chairman shall deliver the notice to the Licensee to be made them. The"
"","maximum period of notice from such advertisement shall not exceed 30 days."
"18.","Any  Licensee  who  has received  a  Notice  in  accordance  with  Section  17 hereof  shall act in  such  manner  as  is"
"","prescribed  in  that  notice  before  the  specified  date.  The  Chairman  shall  have  the  right  to  extend  the  time"
"","specified in such Notice on a reasonable written request by the Licensee. However, the extension period should"
"","not exceed 14 days."
"19.","License issued to any Licensee who fails to act in the manner specified in that notice before the date specified or"
"","extended by such notice, Cancellation by the Chairman must be legal."
"20.","Any license holder of a premises or any other authority authorized by the Public Health Inspector or the Public"
"","Health Inspector, or any authorized person by the Chairman, shall be legally entitled to receive any food, other"
"","substance or liquid in any premises for the purpose of payment. Refuse or obstruct such purchases in any means."
"21.","The Licensee shall give every reasonable support to the Chairman, the Medical Officer of Health or the Public"
"","Health Inspector or any other officer authorized by the Chairman, at any reasonable time to check the terms of"
"","this By-Law."
"22.","It is an offense to maintain a premises without a license to be obtained under this by - law or violation of any of"
"","the provision of this by - law and upon conviction by a court of competent jurisdiction  over that offence shall"
"","be  subject  to  fine  referred  to  in  sub  section  153(2)  of  Urban  Council  Ordinance  No.  61  of  1939  (Chapter)  ."
"","When a person who has been convicted of a crime and subsequently fined by a court of competent jurisdiction"
"","continues to violate or violate such offence and upon receipt of a written notice by the Chairman or the Medical"
"","Officer,  Public  Health  Inspector  addressing  the  violation,  for  each  day  in  which  the  violation  continues,  the"
"","penalty shall be subject to an additional fine in the said clause."
