"106 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"","15.(10)  The windows of the room shall be kept open for at least four hours before a client is allowed to use the room."
"","Keeping room windows open does not apply in an air-conditioned situation."
"15.(11)   Children should not be allowed to live in one room with anyone other than their parents or legal guardian.",""
"16.","All permits issued under this by-law shall expire on or after 31st December of the year in which the license was"
"","issued, unless it was previously revoked."
"17.","Every Sinhala and Tamil and English copy of this by-law shall be displayed in public premises in a public place"
"","in every premise subject to a license under this by-law."
"18.","In the event that the premises of which a hotel is issued under this by-law is in violation of any of the provisions"
"","of  this  By-Law,  the  Licensee  shall  be  required  to  comply  with  all  such  requirements  before  such  date  is"
"","specified. The President shall deliver the notice to the licensee should æsviya. The maximum period of notice"
"","from such advertisement shall not exceed 30 days."
"19.","Any licensee who has received a notice of the type referred to in section 18 hereof shall act in accordance with"
"","the notice as set forth in that notice. The Chairperson shall be entitled to extend the specified period of notice of"
"","such notice upon a reasonable written request by the Licensee. However, the extension period should not exceed"
"","14 days."
"20.","In the event that any licensee who has received an advertisement of the type referred to in paragraph 18 hereof"
"","has failed to act in the manner specified in that notice or before the date of such extension, the license issued to"
"","the relevant place shall be revoked by the Chairman. Must be."
"21.","Any  food,  other  substance  or liquid in any  premises  for  inspection purposes by  the Chairman  or  the Medical"
"","Officer  of  Health  or  the  Public  Health  Inspector  or  any  other  authority  authorized  by  the  Chairman  shall  be"
"","legally authorized to be paid by the Licensee. Refuse or impede the purchase or purchase Rima any means."
"22.","The Chairperson or an authority authorized by him to examine the terms of these By-Laws, the Medical Officer"
"","of  Health  and  the  Public  Health  Inspector  shall  have  the  power at any  reasonable time and  the  Licensee  shall"
"","provide every reasonable support."
"22.","It is an offense to maintain a premises without a license to be obtained under this by - law or violation of any of"
"","the provision of this by - law and upon conviction by a court of competent jurisdiction  over that offence shall"
"","be  subject  to  fine  referred  to  in  sub  section  153(2)  of  Urban  Council  Ordinance  No.  61  of  1939  (Chapter)  ."
"","When a person who has been convicted of a crime and subsequently fined by a court of competent jurisdiction"
"","continues to violate or violate such offence and upon receipt of a written notice by the Chairman or the Medical"
"","Officer,  Public  Health  Inspector  addressing  the  violation,  for  each  day  in  which  the  violation  continues,  the"
"","penalty shall be subject to an additional fine in the said clause."
"24.","Unless otherwise required in this By-Law,"
