"62 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"4. (6)","Surfaces  directly  in  contact  with  meat  shall  be  of  good  quality,  durable  and  easy  to  clean,  maintain,  and"
"","disinfect. These surfaces should be made of materials that are smooth and non-absorbent and that the surfaces"
"","should be free from food, washing and disinfection."
"4. (7)","The  ceiling  must  be  designed,  constructed  and  finished  to  prevent  the  accumulation  of  dirt,  to  minimize"
"","condensation and to prevent the molding and cracking of the ceiling."
"4. (8)","Doors shall have a smooth and non-absorbent surface and shall be automatically closed or properly closed when"
"","appropriate."
"4.(9)","The  windows  should  be  easily  cleaned  and  constructed  to  minimize  dirt  accumulation.  They  should  also  be"
"","equipped with removable and cleanable nets that are not accessible to insects and should be installed as needed."
"","4.(10)   All structures and fixtures above the place where meat is for sale must be installed to prevent direct and indirect"
"","combustion  of  meat  by  condensation  and  leakage and  shall  not interfere  with  cleaning.  It  should  be  designed"
"","and finished to prevent dirt accumulation, mold buildup and spillage."
"4.(11)","The  drains  should  be  adequately  constructed  to  avoid  contamination  and  return,  and  should  be  erected  to"
"","prevent combustion and the drainage of the wastewater must be cleaned and disinfected at least twice daily with"
"","disinfectant."
"4.(12)","Sufficient measures must be taken to prevent wastewater and sewage from flowing into any public  waterway,"
"","sewer, or open ground."
"4.(13)","The  sewage  pit,  where  sewage  and  sewage  flow,  must  not  be  exposed  to  air  and  shall  not  contaminate"
"","groundwater from the suction pit."
"4.(14)","The sewage pit where sewage and sewage is flowing must be constructed to the standard."
"4.(15)","The suction pit shall be erected at least 15.25 m from any source of water."
"4.(16)","The  disposal  of  waste  in  the  premises  of  the  permit  shall  be  carried  out  in  accordance  with  the  Waste"
"","Management Regulations of the Urban Council."
"","However,  when  the  permit  holder  of  the  premises  has  a  disposal  facility,  it  is  legal  to  dispose  of  the  waste"
"","subject  to  the  conditions  stipulated  by  the  Medical  Officer  of  Health  or  the  Public  Health  Inspector  with  the"
"","approval of the Urban Council."
"4.(17)","In case of the intention of opening a meat stall in an area not covered by the Solid Waste Management Service"
"","of  the  Urban Council, a  formal  waste  disposal  system  approved  by  the  chairman  of  the  Urban  Council  on the"
"","recommendation of the public health inspector's report and the medical officer of the health authority shall be"
"","obtained Should not be given"
"5.","Every  person  licensed  under  this  by-law  shall  maintain  a  premises  for  sale  of  meat  in  accordance  with  the"
"","following conditions."
"5.(1)","Meat shall be kept open for sale, for sale, for sale, and for sale to a public place, road or road."
"5.(2)","The  certified  copies  of  certificates  or  certificates  certified  by  the  Public  Health  Inspector  to  be  issued  by  the"
"","Public Health Inspector should be submitted to certify that the meat which is for sale in a licensed meat shop is"
"","suitable for human consumption."
"5.(3)","If  the  flesh  of  an  animal  slaughtered  within  the  territory  of  a  meat  market  for  sale  in  a  licensed  place  is  not"
"","covered under this by-law, the meat may be kept in a well-closed vehicle or box or any other suitable container"
"","under cold conditions below 2 ° C. Unless the veterinary officer and the Public Health Inspector have certified"
"","that they have been delivered to the premises, such meat should be kept for sale. Should be."
"5.(4)","At  the  end  of  the  day-to-day  operations  of  any  licensed  meat market, the  site  shall  be  cleaned  with  sterilized"
"","disinfectant liquid, the floor, packaging, cutting tools and other equipment, and the place where the meat is sold."
"5.(5)","Any  licensed  meat  stall  and  drains  in  and  around  it,  and  all  vessels  and  utensils  used  in  connection  with  the"
"","storage, preparation or sale of meat, shall be kept in good repair and free of odor."
