"","","No.","Advance","of expenditure","limit of","limit of","limit of"
"","","","","","Receipt","debit balance","liabilities"
"Other Advance Accounts","","","","","","",""
"30","Ministry of Law and order,","81004","Sabaragamuwa","1,500,000","500,000","1,050,000","-"
"","Finance and Planning","","Provincial","","","",""
"","Local Government, Health,","","Theater","","","",""
"","Indigenous  Medicine and","","Advance","","","",""
"","Women’s Affairs, Co-","","Account","","","",""
"","operative, Trade and Food,","","","","","",""
"","Transport, Estate Welfare,","","","","","",""
"","Environment, Media,","","","","","",""
"","Housing and Construction","","","","","",""
"","and Religious Affairs","","","","","",""
"31","Department of Indigenous","81202","Panchakarma","2,500,000","1,000,000","500,000","500,000"
"","Medicine","","Centre -","","","",""
"","","","Pinnawala","","","",""
"32","Department of Industrial","83102","Establishment","60,000,000","30,000,000","15,000,000","2,000,000"
"","Development","","of Textile","","","",""
"","","","Workshops and","","","",""
"","","","Management","","","",""
"33","Department of Industrial","83103","Establishment","20,000,000","8,000,000","8,000,000","1,000,000"
"","Development","","of Small","","","",""
"","","","Industrial","","","",""
