"Total","","","62,522,578,739.45"
"Head","Institutions and Programmes","Recurrent","Capital Expenditure"
"","","Expenditure - Rupees","Rupees"
"800","Hon. Governor’s Secretariat","",""
"","Programme 3 - Provincial Council Administration","136,717,000.00","3,000,000.00"
"801","Provincial Council Secretariat","",""
"","Programme 3 - Provincial Council Administration","186,073,000.00","1,000,000.00"
"802","Office of the Provincial Public Service Commission","",""
"","Programme 3 - Provincial Council Administration","32,302,000.00","1,000,000.00"
"803","Office of the Co-operative Employee’s Commission","",""
"","Programme 3 - Provincial Council Administration","16,355,000.00","-"
"804","Chief Secretary","",""
"","Programme 3 - Provincial Council Administration","330,700,000.00","668,200,000.00"
"805","Deputy Chief Secretary (Personnel and Training)","",""
"","Programme 3 - Provincial Council Administration","65,000,000.00","-"
"806","Deputy Chief Secretary (Financial Management)","",""
"","Programme 3 - Provincial Council Administration","81,587,000.00","-"
"807","Deputy Chief Secretary (Planning)","",""
"","Programme 3 - Provincial Council Administration","76,920,000.00","-"
"808","Deputy Chief Secretary (Enginnering Services)","",""
"","Programme 50 - Construction and Road Maintenance","477,400,000.00","-"
"809","Provincial Revenue Department","",""
"","Programme 3 - Provincial Council Administration","120,856,000.00","-"
"","Ministry of Law and Order, Finance and Planning, Local","",""
"","Government, Health, Indigeneous Medicine, Women","",""
"","Affairs","",""
"810","Co-operatives, Trade and Food, Transport, Estate","",""
"","Welfare, Environment, News, Housing and Construction","",""
"","and Religious Affairs.","",""
"","Programme 3 - Provincial Council Administration","216,500,000.00","89,000,000.00"
"","Programme 47 - Transport Services","40,000,000.00","204,656,018.25"
"","Programme 49 - Electricity and Energy Services","","73,000,000.00"
"","Programme 53 - Co - operative Development","","73,000,000.00"
"","Programme 60 - Community Development","122,000,000.00","790,421,160.75"
