"","Ministry/ Department","Code","Category of","Maximum  limit","Minimum","Maximum","Maximum"
"","","No.","Advance","of expenditure","limit of","limit of","limit of"
"","","","","","Receipt","debit balance","liabilities"
"Provincial Public Officer’s Advance Accounts","","","","","","",""
"1","Office of the Hon.","80001","Provincial P: O:","5,000,000","800,000","7,828,554","-"
"","Governor’s Secretariat","","Advance","","","",""
"2","Provincial Council","80101","Provincial P: O:","6,750,000","1,400,000","10,271,352","-"
"","Secretariat","","Advance","","","",""
"3","Office of the Provincial","80201","Provincial P: O:","4,465,405","800,000","8,415,405","-"
"","Public Service","","Advance","","","",""
"","Commission","","","","","",""
"4","Office of the Co-operative","80301","Provincial P: O:","1,900,000","700,000","3,851,075","-"
"","Employees Commission","","Advance","","","",""
"5","Chief Secretary","80401","Provincial P: O:","18,000,000","8,500,000","48,500,000","-"
"","","","Advance","","","",""
"6","Deputy Chief Secretary","80501","Provincial P: O:","6,000,000","1,100,000","10,000,000","-"
"","(Personnel and Training)","","Advance","","","",""
"7","Deputy Chief Secretary","80601","Provincial P: O:","11,000,000","2,175,000","30,849,000","-"
"","(Finance Management)","","Advance","","","",""
"8","Deputy Chief Secretary","80701","Provincial P: O:","10,000,000","4,000,000","19,000,000","-"
"","(Planning)","","Advance","","","",""
"9","Deputy Chief Secretary","80801","Provincial P: O:","43,200,000","10,000,000","76,344,222","-"
"","(Engineering Service)","","Advance","","","",""
"10","Department of Provincial","80901","Provincial P: O:","7,500,000","2,500,000","14,000,000","-"
"","Revenue","","Advance","","","",""
"11","Ministry of Law and Order,","81001","Provincial P: O:","20,000,000","5,000,000","56,500,000","-"
"","Finance and Planning,","","Advance","","","",""
"","Local Government, Health,","","","","","",""
"","Indigenous Medicine and","","","","","",""
"","Women’s Affairs, Co-","","","","","",""
"","operative, Trade and Food,","","","","","",""
"","Transport, Estate Welfare,","","","","","",""
"","Environment, Media,","","","","","",""
"","Housing and Construction","","","","","",""
"","and Religious Affairs.","","","","","",""
"12","Department of Health","81101","Provincial P: O:","1,200,000,000","320,000,000","2,002,800,000","-"
"","","","Advance","","","",""
"13","Departmetn of Indigenous","81201","Provincial P: O:","90,000,000","18,000,000","132,000,000","-"
"","Medicine","","Advance","","","",""
"14","Department of","81301","Provincial P: O:","14,000,000","4,000,000","28,300,000","-"
"","Co-operative Development","","Advance","","","",""
"15","Department of Local","81401","Provincial P: O:","16,000,000","5,000,000","27,800,000","-"
"","Government","","Advance","","","",""
