"","THE  Public  Utilities  Commission  of  Sri  Lanka  in  exercising  of  its  powers  conferred  by  virtue  of  Section  10(2)  of  the","","",""
"Sri Lanka Electricity Act, No. 20 of 2009 as amended hereby issues Certificate of Exemption to following persons to exempt","","","",""
"from the requirement of obtaining licenses for distribution and supply of electricity.","","","",""
"Certificate No.","Person/ Entity","Premises","Effective Period",""
"","","","From","To"
"EL/EX/D/25-19","Iceland Residencies","Iceland Residencies, No. 49/04,","25.08.2025","24.08.2035"
"","Management Corporation","Galle Road, Colombo 03","",""
"","Condominium Plan No. 2219","","",""
"EL/EX/D/25-20","Elish Highrise (Pvt) Ltd","No. 26C, Senanayake Mawatha, Nawala","25.08.2025","24.08.2030"
"EL/EX/D/25-21","The Management Corporation","No. 410/128, Prime Residencies Bauddhaloka","25.08.2025","24.08.2035"
"","Condominium Plan No. 4599","Mawatha 1, Bauddhaloka Mawatha, Colombo 7","",""
"EL/EX/D/25-22","Orient Residencies Management","No.12/9, Jambugasmulla Road, Nugegoda","25.08.2025","24.08.2035"
"","Committee","","",""
