"","","","SCHEDULE",""
"I, Bambarende Peduruge Shamika Anuradhi, Divisional Secretary of","","","",""
"the Division of Balapitiya in Galle District in terms of Section 33 of","Name of the Land","",": Hiddahandiwatta",""
"the Land Acquisition Act (Chapter 460) hereby give notice that the","Plan No.","",": P.P.G.  4088",""
"sum of  Rupees One Thousand (Rs. 1000/-) being compensation for","Lot No.",":","05",""
"the acquisition of the land described in the schedule below has been","Extent",":","0.0004 Hectare",""
"deposited in under the Case No. A-349 of District Court of Balapitiya","Location","",": North",": Hiddahandiwatta  claimed  by"
"","","","","K. S. Thabrew;"
"to be drawn by the person entitled there to.","","","",""
"","","","East",": Road and Lot No. 06;"
"","","","South",": Road;"
"B. P. S. Anuradhi,","","","",""
"","","","West",": Road and Hiddahandiwatta claimed"
"Divisional Secretary,","","","",""
"","","","","by K. S. Thabrew."
"Balapitiya.","","","",""
