"","","Ministry of Re-settlement","","","",""
"","","Recurrent","62,555,000","","",""
"","","Capital","216,250,000","","",""
"Made up as follows :—","","","","","",""
"Head","580","Minister of Re-settlement","","","",""
"","","Programme 01            General Administration","","14,590,000","7,550,000",""
"","","Programme 15            Rehabilitation & Re-construction","","47,965,000","208,700,000",""
"","","Ministry of Disaster Relief Services","","","",""
"","","Recurrent","285,094,000","","",""
"","","Capital","10,000,000","","",""
"Made up as follows :—","","","","","",""
"Head","590","Minister of Disaster Relief Services","","","","Appropriation Act, No. 39 of 2005"
"","","Programme 01            General Administration","","28,000,000","4,500,000",""
"","","Programme 95            Social Protection","","257,094,000","5,500,000",""
"","","Ministry of Home Affairs","","","",""
"","","Recurrent","4,998,318,000","","",""
"","","Capital","1,142,950,000","","",""
"Made up as follows :—","","","","","",""
"Head","600","Minister of Home Affairs","","","",""
"","","Programme 01
General Administration","","107,137,000","112,600,000",""
"Head","817","District Secretariat, Colombo","","","",""
"","","Programme 01
General Administration","","14 ,450,000","315,500,000",""
"","","Programme 02
Disrict Administration","","213,042,000","—","33"
