"","","","I","II","III","IV","V"
"SRL","Ministry / Department","Item","Activities of the Government","Maximum","Minimum","Maximum","Maximum"
"No.","","No.","","Limits of","Limits of","Limits of","Limits of"
"","","","","Expenditure","Receipts","Debit Balances Liabilities",""
"","","","","of activities","of activities","of activities","of activities"
"","","","","of the","of the","of the","of the"
"","","","","Government","Government","","Government Government"
"","","","","Rs.","Rs.","Rs.","Rs."
"24","Minister of Defence, Public","15001","Advances to Public Officers","42,000,000","16,125,000","116,000,000","—"
"","Security, Law and Order","","","","","",""
"25","Minister of Plan Inplementation 16001","","Advances to Public Officers","3,000,000","700,000","10,000,000","—"
"","and Monitoring","","","","","",""
"26","Minister of Nation Building and 18001","","Advances to Public Officers","12,000,000","500,000","35,000,000","—"
"","Development","","","","","",""
"27","Minister of Disaster","19001","Advances to Public Officers","1,000,000","200,000","10,000,000","—"
"","Managment","","","","","",""
"28","Minister of Tourism","20001","Advances to Public Officers","3,000,000","1,075,000","16,000,000","—"
"29","Minister of Posts","21001","Advances to Public Officers","8,000,000","2,350,000","30,000,000","—"
"","Telecommunications","","","","","",""
"30","Minister of Rural Economic","22001","Advances to Public Officers","1,000,000","200,000","10,000,000","—"
"","Development","","","","","",""
"31","Minister of Justice and","23001","Advances to Public Officers","12,000,000","4,125,000","45,000,000","—"
"","Law Reforms","","","","","",""
"32","Minister of Health Care,","24001","Advances to Public Officers","632,500,000","497,310,000","1,980,000,000","—"
"","Nutrition","","","","","",""
