"56 Minister of Constitutional","47001","Advances to Public Officers","3,500,000","925,000","13,000,000","—"
"Affairs and National","","","","","",""
"Integration","","","","","",""
"57 Minister of Plantation Industries 48001","","Advances to Public Officers","5,000,000","6,335,000","24,000,000","—"
"58 Minister of Sports and Youth","49001","Advances to Public Officers","7,000,000","1,860,000","28,000,000","—"
"Affairs","","","","","",""
"59 Minister of Samurdhi and","50001","Advances to Public Officers","8,000,000","2,870,000","30,000,000","—"
"Poverty Alleviation","","","","","",""
"60 Minister of Indigenous","51001","Advances to Public Officers","3,000,000","1,245,000","15,000,000","—"
"Medicine","","","","","",""
"61 Minister of Fisheries,","52001","Advances to Public Officers","6,000,000","4,500,000","39,000,000","—"
"and Aquatic Resources","","","","","",""
"62 Minister of Estate Infrastructure 53001","","Advances to Public Officers","6,000,000","1,000,000","30,000,000","—"
"and Livestock Development","","","","","",""
"63 Minister of Coconut","54001","Advances to Public Officers","1,000,000","200,000","10,000,000","—"
"Development","","","","","",""
"64 Minister of Cultural Affairs and","55001","Advances to Public Officers","12,000,000","2,450,000","13,000,000","—"
"National Heritage","","","","","",""
"65 Minister of Parliamentary","56001","Advances to Public Officers","2,000,000","1,040,000","10,000,000","—"
"Affairs","","","","","",""
"66 Minister of Co-operatives and","57001","Advances to Public Officers","2,000,000","200,000","10,000,000","—"
"Co-operative Development","","","","","",""
"67 Minister of Resettlement","58001","Advances to Public Officers","10,000,000","1,000,000","35,000,000","—"
"68 Minister of Disaster Relief","59001","Advances to Public Officers","1,000,000","200,000","10,000,000","—"
"Services","","","","","",""
"69 Minister of Home Affairs","60001","Advances to Public Officers","5,000,000","1,570,000","17,000,000","—"
