"34
Minister of Foreign Affairs","25001","Advances to Public Officers","17,000,000","14,775,000","100,000,000","—"
"35
Minister of Ports and Aviation","26001","Advances to Public Officers","6,000,000","2,500,000","30,000,000","—"
"36
Minister of Railways and","27001","Advances to Public Officers","5,500,000","2,790,000","33,000,000","—"
"Transport","","","","","",""
"37
Minister of Petroleum and","28001","Advances to Public Officers","1,000,000","200,000","10,000,000","—"
"Petroleum Resources","","","","","",""
"Development","","","","","",""
"38 Minister of Trade, Commerce","29001","Advances to Public Officers","4,000,000","2,070,000","25,000,000","—"
"Consumer Affairs and","","","","","",""
"Marketing Development","","","","","",""
"39 Minister of Highways","30001","Advances to Public Officers","3,000,000","1,325,000","15,000,000","—"
"40 Minister of Agriculture,","31001","Advances to Public Officers","6,000,000","2,395,000","35,000,000","—"
"Irrigation and Mahaweli","","","","","",""
"Development","","","","","",""
"41 Minister of Power and Energy","32001","Advances to Public Officers","5,500,000","2,870,000","28,000,000","—"
"42 Minister of Child Development","33001","Advances to Public Officers","1,000,000","200,000","10,000,000","—"
"and Women’s Empowerment","","","","","",""
"43 Minister of Public","34001","Advances to Public Officers","15,000,000","6,000,000","75,000,000","—"
"Administration and","","","","","",""
"Home affairs","","","","","",""
"44 Minister of Mass Media","35001","Advances to Public Officers","5,000,000","1,240,000","19,000,000","—"
"and Information","","","","","",""
"45 Minister of Urban Development 36001","","Advances to Public Officers","5,000,000","2,400,000","48,000,000","—"
"and Water Supply","","","","","",""
"46 Minister of Social Service and","37001","Advances to Public Officers","5,000,000","4,275,000","35,000,000","—"
"Social Welfare","","","","","",""
