"","Ministry of Skills Development and Public","","","",""
"Enterprise Reforms","","","","",""
"Recurrent","","361,390,000","","",""
"Capital","","814,000,000","","",""
"Made up as follows :—","","","","",""
"Head
690","Minister  of Skills Development and Public Enterprise Reforms","","","",""
"Programme 01","General Administration","","52,890,000","148,000,000",""
"Programme 83","Vocational Training and Technical Education","","308,500,000","666,000,000",""
"","Ministry of New Railroad Development","","","",""
"Recurrent","","44,800,000","","",""
"Capital","","68,000,000","","",""
"Made up as follows :—","","","","","Appropriation Act, No. 39 of 2005"
"Head
700","Minister of New Railroad Development","","","",""
"Programme 01","General Administration","","41,025,000","6,200,000",""
"Programme 47","Transport Services","","3,775,000","61,800,000",""
"","Ministry of Textile Industrial Development","","","",""
"Recurrent","","98,552,000","","",""
"Capital","","33,250,000","","",""
"Made up as follows :—","","","","",""
"Head
710","Minister of Textile Industrial Development","","","",""
"Programme 01","General Administration","","32,050,000","2,850,000",""
"Programme 51","Industrial Development","","8,000,000","17,100,000","41"
