"","","","I","II","III","IV","V"
"SRL","Ministry / Department","Item","Activities of the Government","Maximum","Minimum","Maximum","Maximum"
"No.","","No.","","Limits of","Limits of","Limits of","Limits of"
"","","","","Expenditure","Receipts","Debit Balances Liabilities",""
"","","","","of activities","of activities","of activities","of activities"
"","","","","of the","of the","of the","of the"
"","","","","Government","Government","Government Government",""
"","","","","Rs.","Rs.","Rs.","Rs."
"97","Department of Technical","71401","Advances to Public Officers","60,000,000","21,520,000","250,000,000","—"
"","Education and Training","","","","","",""
"98","Department of Social Services","71601","Advances to Public Officers","18,000,000","4,845,000","70,000,000","—"
"99","Department of Probation and","71701","Advances to Public Officers","14,000,000","2,425,000","40,000,000","—"
"","Child Care Services","","","","","",""
"100","Department of Commissioner","71801","Advances to Public Officers","18,000,000","7,680,000","65,000,000","—"
"","General of Samurdhi","","","","","",""
"101","Department of Sports","72101","Advances to Public Officers","6,500,000","2,550,000","28,000,000","—"
"","Development","","","","","",""
"102","Department of Ayurveda","72201","Advances to Public Officers","30,000,000","11,165,000","110,000,000","—"
"103","Department of Labour","72301","Advances to Public Officers","65,000,000","30,650,000","200,000,000","—"
"104","Sri Lanka Army","75101","Advances to Public Officers","1,550,000,000","845,275,000","2,330,000,000","—"
"105","Sri Lanka Navy","75201","Advances to Public Officers","360,000,000","162,900,000","722,000,000","—"
"106","Sri Lanka Navy","75202","Stores (Explosive items)","200,000,000","180,000,000","100,000,000","—"
"","","","Advance Account","","","",""
"107","Sri Lanka Air Force","75301","Advances to Public Officers","350,000,000","218,180,000","750,000,000","—"
"108","Department of Police","75401","Advances to Public Officers","1,070,700,000","744,100,000","2,250,000,000","—"
"109","Department of Immigration","75501","Advances to Public Officers","25,000,000","10,020,000","112,000,000","—"
"","and Emigration","","","","","",""
