"Ministry of  Disaster Management","","","",""
"Recurrent","","35,915,000","",""
"Capital","","9,300,000","",""
"Made up as follows :—","","","",""
"Head
190
Minister of Disaster Management","","","",""
"Programme 01","General Administration","","22,550,000","4,200,000"
"Programme 95","Social Protection","","13,365,000","5,100,000"
"Ministry of  Tourism","","","",""
"Recurrent","","75,200,000","",""
"Capital","","174,000,000","",""
"Made up as follows :—","","","","Appropriation Act, No. 39 of 2005"
"Head
200
Minister of  Tourism","","","",""
"Programme 01","General Administration","","30,000,000","4,000,000"
"Programme 51","Industrial Development","","45,200,000","170,000,000"
"","Ministry of Posts Telecommunications","","",""
"Recurrent","","5,335,220,000","",""
"Capital","","592,250,000","",""
"Made up as follows :—","","","",""
"Head
210","Minister of Posts Telecommunications","","",""
"Programme 01","General Administration","","125,531,000","13
27,950,000"
