"","","Ministry of Irrigation","","",""
"","","Recurrent
838,123,000","","",""
"","","Capital
1,561,460,000","","",""
"Made up as follows :—","","","","",""
"Head","650","Minister of Irrigation","","",""
"","","Programme 01           General Administration","42,223,000","4,960,000",""
"","","Programme 51           Industrial Development","16,000,000","3,200,000",""
"Head","853","Department of Irrigation","","",""
"","","Programme 43           Irrigation and Water Management","779,900,000","1,553,300,000",""
"","","Ministry of Agrarian Services and Development of","","","Appropriation Act, No. 39 of 2005"
"","","Farmer Communities","","",""
"","","Recurrent
1,920,423,000","","",""
"","","Capital
1,153,460,000","","",""
"Made up as follows :—","","","","",""
"Head","660","Minister of Agrarian Services and Development of Farmer Communities","","",""
"","","Programme 01           General Administration","42,223,000","4,960,000",""
"","","Programme 44           Agriculture Development","102,200,000","15,500,000",""
"Head","852","Department of Agrarian Development","","",""
"","","Programme 01
 General Administration","110,189,000","58,000,000",""
"","","Programme 44
Agriculture Development","1,665,811,000","1,075,000,000","39"
