"","","Ministry of Railways and Transport","","","","",""
"","","Recurrent","","10,581,700,000","","",""
"","","Capital","","10,009,000,000","","",""
"Made up as follows :—","","","","","","",""
"Head","270","Minister of Railways and Transport","","","","",""
"","","Programme 01","General Administration","","52,500,000","8,400,000",""
"","","Programme 47","Transport Services","","3,660,000,000","3,663,300,000",""
"Head","901","Department of Sri Lanka Railways","","","","",""
"","","Programme 47","Transport Services","","6,455,200,000","6,332,000,000",""
"Head","902","Department of Motor Traffic","","","","","Appropriation Act, No. 39 of 2005"
"","","Programme 47","Transport Services","","414,000,000","5,300,000",""
"","","Ministry of Petroleum and Petroleum","","","","",""
"","","Resources Development","","","","",""
"","","Recurrent","","24,790,,000","","",""
"","","Capital","","30,650,000","","",""
"Made up as follows :—","","","","","","",""
"Head","280","","Minister of Petroleum and Petroleum Resources Development","","","",""
"","","Programme 01","General Administraiton","","12,565,000","3,350,000",""
"","","Programme 49","Power & Energy Services","","12,225,000","27,300,000","17"
