"Head","861","Department of Animal Production and Health","","","",""
"","","Programme 45
Livestock Development","","230,200,000","255,190,000",""
"","","Ministry of Coconut Development","","","",""
"","","Recurrent","349,663,000","","",""
"","","Capital","210,960,000","","",""
"Made up as follows :—","","","","","",""
"Head","540","Minister of Coconut Development","","","",""
"","","Programme 01            General Administration","","42,223,000","129,960,000",""
"","","Programme 42            Plantation Development","","307,440,000","81,000,000",""
"","","Ministry of Cultural and National Heritage","","","",""
"","","Recurrent","826,235,000","","",""
"","","Capital","262,300,000","","","Appropriation Act, No. 39 of 2005"
"Made up as follows :—","","","","","",""
"Head","550","Minister of Cultural and National Heritage","","","",""
"","","Programme 01
General Administration","","15,496,000","3,050,000",""
"","","Programme 91
Cultural Development","","341,944,000","153,250,000",""
"Head","702","Department of Cultural Affairs","","","",""
"","","Programme 91
Cultural Development","","168,995,000","18,000,000",""
"Head","706","Department of Archaeology","","","",""
"","","Programme 91
Cultural Development","","239,300,000","70,000,000",""
"Head","707","Department of National Museums","","","",""
"","","Programme 91
 Cultural Development","","60,500,000","18,000,000","31"
