"Ministry of Highways","","","",""
"Recurrent","","140,100,000","",""
"Capital","","35,990,790,000","",""
"Made up as follows :—","","","",""
"Head
300
Minister of Highways","","","",""
"Programme 01","General Administration","","140,100,000","5,000,000"
"Programme 50","Construction & Maintenance of Highways","","—","35,985,790,000"
"","Ministry of Agriculture, Irrigation and Mahaweli Development","","",""
"Recurrent","","1,407,930,000","",""
"Capital","","3,141,850,000","",""
"Made up as follows :—","","","","Appropriation Act, No. 39 of 2005"
"Head
310","Minister of Agriculture, Irrigation and Mahaweli Development","","",""
"Programme 01","General Administration","","26,800,000","6,000,000"
"Programme 43","Irrigation and Water Management","","1,381,130,000","3,135,850,000"
"Ministry of Power and Energy","","","",""
"Recurrent","","1,026,740,000","",""
"Capital","","9,424,555,000","",""
"Made up as follows :—","","","",""
"Head
320
Minister of Power and Energy","","","",""
"Programme 01","General Administration","","33,880,000","2,475,000"
"Programme 49","Power & Enegery Services","","992,860,000","19
9,422,080,000"
