"","","","of the","of the","of the","of the"
"","","","Government","Government","","Government Government"
"","","","Rs.","Rs.","Rs.","Rs."
"47 Minister of Housing and","38001","Advances to Public Officers","6,000,000","2,625,000","34,000,000","—"
"Construction","","","","","",""
"48 Minister of Education","39001","Advances to Public Officers","869,000,000","498,800,000","1,715,000,000","—"
"49 Minister of Labour Relations","40001","Advances to Public Officers","20,000,000","3,050,000","30,000,000","—"
"and Foreign Employment","","","","","",""
"50 Minister of Rural Industries and 41001","","Advances to Public Officers","3,000,000","1,475,000","16,000,000","—"
"Self-employment Promotion","","","","","",""
"51 Minister of Vocational and","42001","Advances to Public Officers","14,000,000","2,565,000","47,000,000","—"
"Technical Training","","","","","",""
"52 Minister of  Local Government","43001","Advances to Public Officers","5,000,000","2,400,000","27,000,000","—"
"and Provincial Councils","","","","","",""
"53 Minister of Infrastructure","44001","Advances to Public Officers","1,000,000","200,000","10,000,000","—"
"Development & Fisheries","","","","","",""
"Housing","","","","","",""
"54 Minister of Enterprise","45001","Advances to Public Officers","2,000,000","400,000","20,000,000","—"
"Development and","","","","","",""
"Investment Promotion","","","","","",""
"55 Minister of Science and","46001","Advances to Public Officers","16,000,000","2,000,000","40,000,000","—"
"Technology","","","","","",""
