"74 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"4. (7)","All Sections thereof shall be erected with a ceiling or concrete plate and shall be at least 2.7 m above the ground"
"","level."
"","4. (8)   When  operating  a  beauty  center,  every  room  should  have  openable  windows,  and  the  floor  area  should  be"
"","sufficiently illuminated, and when opened, the area of the window windows should be one-seventh of the floor"
"","area of the room. When considering both door windows, the area of the window panels should be at least one-"
"","third of the floor area of the room and the area of the room when opening both doors. When adequate light and"
"","ventilation are provided artificially, it is legal to consider the above requirement fulfilled."
"4. (9)","Drinking water shall be adequately supplied for the use of the premises and shall be stored in containers which"
"","meet the required standards."
