"92 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"4.(26)","Wastewater and sewage shall be directed to a septic pit, suction pit, or central treatment unit by an approved"
"","system of sealed drainage or other suitable construction material so that the waste does not rely on the required"
"","slope.  Also,  a  water  trap  or an approved  suitable  method  should  be  used  to  prevent  combustion  between  the"
"","premises and the final disposal."
"4.(27)","When intending to operate a grocery store in an area not covered by the Solid Waste Management Service of"
"","the pradeshiya Sabha, the license holder shall establish a formal waste disposal system to the satisfaction of the"
"","Chairman  of  the  pradeshiya  Sabha according to  the reports of  the  Public  Health  Inspector  or  Health  Medical"
"","Officer."
"5.","Every  person 
licensed  under 
this  by-law  shall  maintain  the  premises 
in  accordance  with  the  following"
"","conditions."
"5. (1)","Notwithstanding  the  procedure  laid  down  under  this  By-Law,  adequate  measures  must  be  taken  to  prevent"
"","wastewater and sewage from flowing into any public waterway, sewer or open land."
"5. (2)","The above mentioned wastewater shall not be exposed to the sewage pit where the sewage is flowing, and shall"
"","not contaminate ground water from the suction pit."
"5. (3)","The above mentioned pond shall be constructed up to the approved standard for sewerage."
"5. (4)","The above suction pit shall be erected at least 15.25 m from any source of water."
"5. (5)","When necessary  to  freeze, refrigerate,  store  cold  or  frozen foods,  and regulate the temperature  of  foodstuffs,"
"","the  food  shall  be  in  accordance  with  the  nature  of  the  operations;  Sufficient  facilities  shall  be  provided  to"
"","ensure the safety and suitability of the material and to regulate the temperature."
"5. (6)","All  equipment  and  tools  used  in  the  place  where  food  items  are  sold  must  comply  with  the  following"
"","requirements:"
