"82 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"18.","The  Licensee  shall  provide  every  reasonable  support  to  the  Chairman  or  the  Medical  Officer  of  Health  or  the"
"","Public  Health  Inspector  or  any  other  officer  authorized  by  the  Chairman  at  any  reasonable  time  to  inspect  the"
"","provisions of this by-law."
"19.","All license issued under this by-law shall be expire on the 31st of December of the issued year unless they have"
"","been previously revoked."
"20.","The  Sinhala,  Tamil  and  English  copy  of  this  by-law  shall  be  exhibited  in  a  publicly  visible  place  within  the"
"","premises subject to a license under this by-law."
"21.","The Chairman shall notify by a notice ordering the Licensee of such premises in any premises where a permit has"
"","been issued, in violation of the provisions of this clause, or in compliance with the requirements of such place to"
"","do all that is necessary to bring the place up to the standards before the specified date. The time period provided"
"","by such advertisement shall be limited to a maximum of 30 days."
"22.","Any license holder who receives a notice as set out in this article shall act in such manner as may be prescribed"
"","by  such  license prior to  the  date  specified  by  such notice. The  Chairman  shall have  the  authority  to  extend  the"
"","time  specified  in  such  notice  upon  a  reasonable  written  request  by  the  client.    The  period  must  not  exceed"
"","fourteen days"
"23.","Any Licensee who has received a Notice as set forth in Section 27 hereof shall have canceled the License issued"
"","to  the  relevant  premises  in  the  event  of  failure  to  act  in  the  manner  specified  in  that  Notice  or  before  the"
"","Extended Date shall be legalized."
"24.","Sub-Section 122 of the Pradeshiya Sabha Act, No. 15 of 1987 provides that it is an offense to maintain premises"
"","without  a  permit  under  this  by-law  or  to  violate  any  of  the  provisions  of  the  by-law.    Be  subject  to  a  fine  A"
"","person  who  has  been  convicted  of  an  offense  by  a  court  of  competent  jurisdiction  over  that  offense  has  been"
"","liable to a fine and Every day that the violation is continued after a written notice is given by the Chairman, the"
"","Medical  Officer  of  Health  or  the  Public  Health  Inspector,  with  the  attention  of  the  violator  continuing  for  the"
"","same, an additional fine of the said clause shall be liable."
"25.","In  this  by-law,  unless  it  is  otherwise  necessary  to  another  meaning  for  the  words  The  word  ""Chairman""  shall"
"","mean the person holding the office of Chairman of this Pradeshiya Sabha or the person who performs the duties"
"","of the post,"
