"","","","","","of  workman"
"Rs.","","Rs.","Rs.","Rs.","Rs."
"0","-","2,500","181,665.00","196,083.80","1,320.00"
"2,501","-","5,000","258,640.80","295,075.00","1,804.00"
"5,001","-","7,500","330,968.00","351,461.00","2,186.80"
"7,501","-","10,000","407,427.90","444,494.60","2,733.50"
"10,001","-","12,500","478,495.60","519,593.80","3,231.80"
"12,501","-","15,000","522,495.60","550,000.00","3,561.80"
"15,001","-","17,500","549,631.50","550,000.00","3,890.70"
"17,501","-","20,000","550,000.00","550,000.00","4,221.80"
"20,001","","-  and  above","550,000.00","550,000.00","5,500.00"
