"","I ෙකොටස: (I) ෙඡදය - ශී ලංකා පජාතාන්තික සමාජවාදී ජනරජෙය් අති විෙශෂ ගැසට් පතය - 2019.11.20","","","",""
"PART  I : Sec. (I) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 20.11.2019","","","","",""
"Coordinates","East","North","Coordinates","East","North"
"Number","Coordinates","Coordinates","Number","Coordinates","Coordinates"
"1271","161119","138000","1314","160863","138675"
"1272","161104","138017","1315","160863","138698"
"1273","161091","138030","1316","160878","138717"
"1274","161099","138043","1317","160871","138734"
"1275","161089","138063","1318","160876","138758"
"1276","161066","138076","1319","160869","138775"
"1277","161063","138091","1320","160848","138795"
"1278","161059","138104","1321","160813","138773"
"1279","161058","138118","1322","160795","138766"
"1280","161070","138126","1323","160772","138780"
"1281","161083","138144","1324","160756","138788"
"1282","161107","138162","1325","160740","138805"
"1283","161094","138174","1326","160738","138822"
"1284","161082","138189","1327","160752","138833"
"1285","161073","138214","1328","160772","138862"
"1286","161037","138218","1329","160781","138859"
"1287","161016","138208","1330","160809","138843"
"1288","161008","138230","1331","160833","138832"
"1289","160999","138250","1332","160859","138821"
"1290","160981","138278","1333","160873","138806"
"1291","160966","138288","1334","160895","138792"
"1292","160936","138304","1335","160912","138781"
"1293","160907","138326","1336","160934","138776"
"1294","160862","138347","1337","160956","138777"
"1295","160834","138368","1338","160979","138779"
"1296","160773","138432","1339","160999","138770"
"1297","160734","138463","1340","161022","138762"
"1298","160690","138472","1341","161046","138753"
"1299","160696","138511","1342","161066","138760"
"1300","160679","138530","1343","161079","138774"
"1301","160694","138552","1344","161105","138796"
"1302","160713","138569","1345","161132","138796"
"1303","160737","138578","1346","161154","138802"
"1304","160751","138592","1347","161165","138779"
"1305","160772","138604","1348","161161","138757"
"1306","160801","138621","1349","161157","138744"
"1307","160826","138646","1350","161136","138736"
"1308","160856","138663","1351","161102","138727"
"1309","160855","138673","1352","161114","138715"
"1310","160839","138685","1353","161122","138694"
"1311","160818","138716","1354","161136","138681"
"1312","160842","138700","1355","161142","138683"
"1313","160854","138685","1356","161157","138671"
