"Coordinates","East","North","","",""
"","","","Coordinates","East","North"
"Number","Coordinates","Coordinates","","",""
"","","","Number","Coordinates","Coordinates"
"841","158641","136682","884","159073","137735"
"842","158623","136756","885","158865","137643"
"843","158587","136828","886","158603","137413"
"844","158578","136848","887","158651","137228"
"845","158567","136910","888","158846","137111"
"846","158578","136922","889","158891","137099"
"847","158609","136918","890","158941","137089"
"848","158630","136897","891","158953","137102"
"849","158660","136890","892","158973","137125"
"","","","893","158954","137147"
"850","158683","136903","","",""
"","","","894","158940","137155"
"851","158728","136959","","",""
"","","","895","158916","137149"
"852","158545","137101","","",""
"","","","896","158889","137135"
"853","158491","137204","","",""
"","","","897","158866","137128"
"854","158507","137428","","",""
"","","","898","158836","137150"
"855","158471","137549","","",""
"","","","899","158826","137230"
"856","158656","137619","","",""
"","","","900","158855","137249"
"857","158767","137646","","",""
"","","","901","158872","137261"
"858","158815","137805","","",""
"","","","902","158907","137269"
"859","158793","137893","","",""
"","","","903","158916","137279"
"860","158772","137899","","",""
"","","","904","158907","137299"
"861","158714","138091","","",""
"","","","905","158900","137325"
"862","158564","138567","","",""
"","","","906","158903","137352"
"863","158352","138579","","",""
"","","","907","158886","137364"
"864","158348","138607","","",""
"","","","908","158898","137382"
"865","158358","138637","","",""
"","","","909","158919","137395"
"866","158342","138742","","",""
"","","","910","158948","137400"
"867","158277","138775","","",""
"","","","911","158966","137412"
"868","158749","138984","","",""
"","","","912","158985","137407"
"869","159120","139148","","",""
"","","","913","159002","137401"
"870","159179","139104","","",""
"","","","914","159021","137398"
"871","159192","138945","","",""
"","","","915","159053","137344"
"872","159258","138826","","",""
"","","","916","159054","137413"
"873","159476","138727","","",""
"","","","917","159075","137450"
"874","159642","138714","","",""
"","","","918","159080","137452"
"875","160006","138694","","",""
"","","","919","159091","137452"
"876","160215","138523","","",""
"","","","920","159109","137453"
"877","160402","138332","","",""
"","","","921","159133","137448"
"878","160274","138255","","",""
"","","","922","159147","137424"
"879","159995","138262","","",""
"","","","923","159161","137423"
"880","159652","138167","","",""
"","","","924","159176","137425"
"881","159485","138047","","",""
"","","","925","159156","137455"
"882","159358","137978","","",""
"","","","926","159145","137466"
"883","159192","137841","","",""
