"","18","uqo,a fldæIka iNd ld(cid:190)hd,h","02001","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","5’000""000","1’500""000","15’000""000","-"
"","19","cd;sl  wOHdmk  fldæIka  iNdj","02101","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","2’000""000","780""000","7’000""000","-"
"","20","Y%
S ,xld udkj ysæl(cid:239) fldæIka","","","","","",""
"","","iNdj","02201","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","2""500""000","292""000","4""000""000","-"
"","21","nqoaO Ydik yd wd.æl","","","","","",""
"","","lghq;=  wud;Hjrhd","10101","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","7""000""000","1""900""000","19""000""000","-"
"","22","uqo,a yd l%ui(cid:239)mdok wud;Hjrhd","10201","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","28""300""000","10""100""000","96""000""000","-"
"","23","rdcH  wdrlaIl  wud;Hjrhd","10301","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","63""800""000","31""300""000","224""000""000","-"
"-","","","","","","","",""
"","24","wd(cid:190)(cid:211)l  ixj(cid:190)Ok  wud;Hjrhd","10501","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","113""500""000","34""200""000","358""000""000","-"
"","25","wdmod  l<ukdlrK  wud;Hjrhd","10601","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","4""000""000","1""600""000","8""000""000","-"
"","26",";eme,a  yd  œ(cid:255),s  ixfoaY  wud;Hjrhd","10801","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","10""000""000","2""200""000","40""000""000","-"
"","27","wŒlrK  wud;Hjrhd","11001","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","14""000""000","5""500""000","52""000""000","-"
"","28","fi!LH  wud;Hjrhd","11101","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","960""000""000","624""000""000","2""000""000""000","-"
"","29","œfoaY  lghq;=  wud;Hjrhd","11201","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","38""000""000","29""600""000","121""000""000","-"
"","30","jrdh  yd  .=jka  fiajd  wud;Hjrhd","11301","rcfha  ks,Od(cid:223)kag  w;a;sldr(cid:239)","9""000""000","5""600""000","41""000""000","-"
