"","Made  up  as  follows  :-","","","",""
"Head","111","Minister  of  Health","","",""
"","","Programme  01","Operational  Activities","103,535,998,000","2,272,500,000"
"","","Programme  02","Development  Activities","17,993,000,000","34,727,500,000"
"","","","State  Ministry  of    Indigenous  Medicine  Promotion  ,  Rural  and","",""
"","","","Ayurvedic  Hospitals  Development  and  Community  Health","",""
"","","Recurrent","2,179,000,000","",""
"","","Capital","100,000,000","",""
"Made  up  as  follows  :-","","","","",""
"Head","416","","State  Minister  of  Indigenous  Medicine  Promotion  ,  Rural  and","",""
"","","","Ayurvedic  Hospitals  Development  and  Community  Health","",""
"","","Programme  01","Operational  Activities","360,000,000","17,000,000"
"","","Programme  02","Development  Activities","-","10,000,000"
"Head","220","Department  of  Ayurveda","","",""
"","","Programme  01","Operational  Activities","122,000,000","7,000,000"
"","","Programme  02","Development  Activities","1,697,000,000","66,000,000"
"","","","State  Ministry  of    Production,  Supply  and  Regulation  of    Pharmaceuticals","",""
"","","Recurrent","65,730,000,000","",""
"","","Capital","400,000,000","",""
"Made  up  as  follows  :-","","","","",""
"Head","423","","State  Minister  of  Production,  Supply  and  Regulation  of    Pharmaceuticals","",""
"","","Programme  01","Operational  Activities","65,730,000,000","25,000,000"
"","","Programme  02","Development  Activities","-","375,000,000"
