"No.","","","","Expenditure","Expenditure"
"","","","","Rs.","Rs."
"","Made  up  as  follows  :-","","","",""
"Head","427","","State  Minister  of  Livestock,  Farm  Promotion  and  Dairy  and","",""
"","","Egg  Related  Industries","","",""
"","","Programme  01","Operational  Activities","328,500,000","11,000,000"
"","","Programme  02","Development  Activities","-","1,270,000,000"
"Head","292","Department  of  Animal  Production  and  Health","","",""
"","","Programme  01","Operational  Activities","644,600,000","84,000,000"
"","","Programme  02","Development  Activities","-","435,000,000"
"","","Ministry  of  Power","","",""
"","","Recurrent","237,300,000","",""
"","","Capital","529,000,000","",""
"","Made  up  as  follows  :-","","","",""
"Head","119","Minister  of    Power","","",""
"","","Programme  01","Operational  Activities","237,300,000","3,000,000"
"","","Programme  02","Development  Activities","-","526,000,000"
"","","","State  Ministry  of  Solar,  Wind  and  Hydro    Power  Generation  Projects","",""
"","","Development","","",""
"","","Recurrent","371,500,000","",""
"","","Capital","161,000,000","",""
