"8 6","State  Minister  of    Aviation  and","","","","",""
"","Export  Zones  Development","43701 Advances  to  Public  Officers","3,500,000","1,000,000","8,000,000","—"
"8 7","State  Minister  of  Cooperative","","","","",""
"","Services,  Marketing  Development","","","","",""
"","and  Consumer  Protection","43801 Advances  to  Public  Officers","8,000,000","3,000,000     20,000,000","","—"
"8 8","State  Minister  of  Batik,  Handloom","","","","",""
"","and  Local  Apparel  Products","43901 Advances  to  Public  Officers","4,000,000","1,000,000       20,000,000","","—"
"8 9","State  Minister  of  Gem  and  Jewellry","","","","",""
"","related  Industries","44001 Advances  to  Public  Officers","1,000,000","200,000       10,000,000","","—"
"9 0","State  Minister  of  Primary  Health","","","","",""
"","Care,  Epidemics  and  COVID","","","","",""
"","Disease  Control","44101 Advances  to  Public  Officers","4,000,000","500,000","5,000,000","—"
"9 1","State  Minister  of  National  Security","","","","",""
"","and  Disaster  Management","44201 Advances  to  Public  Officers","30,000,000","14,000,000","80,000,000","—"
"9 2","State  Minister  of  Coast","","","","",""
"","Conservation  &  Law-Lying  Lands","","","","",""
"","Development","44301 Advances  to  Public  Officers","500,000","50,000","1,000,000","—"
"9 3","State  Minister  of  Digital","","","","",""
"","Technology  and  Enterprise","","","","",""
"","Development","44401 Advances  to  Public  Officers","500,000","50,000","1,000,000","—"
"9 4","State  Minister  of  Community","","","","",""
"","Police  Service","44501 Advances  to  Public  Officers","800,000","550,000","10,000,000","—"
"9 5","Department  of  Buddhist  Affairs","","20101 Advances  to  Public  Officers        40,000,000   20,000,000    100,000,000","","","—"
