"Head","414","","State  Minister  of    Samurdhi  Household  Economy,  Micro-finance,","",""
"","","Self  Employment  and  Business  Development","","",""
"","","Programme  01","Operational  Activities","420,050,000","55,700,000"
"","","Programme  02","Development  Activities","6,923,600,000","793,600,000"
"Head","331","Department  of  Samurdhi  Development","","",""
"","","Programme  01","Operational  Activities","418,500,000","8,700,000"
"","","Programme  02","Development  Activities","66,101,500,000","308,000,000"
"","","Ministry  of  Defence","","",""
"","","Recurrent","326,295,860,000","",""
"","","Capital","46,750,000,000","",""
