"No.","","","","Expenditure","Expenditure"
"","","","","Rs.","Rs."
"Made  up  as  follows  :-","","","","",""
"Head","151","Minister  of  Fisheries","","",""
"","","Programme  01","Operational  Activities","231,450,000","98,000,000"
"","","Programme  02","Development  Activities","-","1,176,200,000"
"Head","290","Department  of  Fisheries  and  Aquatic  Resources","","",""
"","","Programme  01","Operational  Activities","640,450,000","25,800,000"
"","","","State  Ministry  of  Ornamental  Fish,  Inland  Fish  and  Prawn  Farming,","",""
"","","","Fishery  Harbour  Development,  Multiday  Fishing  Activities  and  Fish  Exports","",""
"","","Recurrent","1,456,450,000","",""
"","","Capital","375,000,000","",""
"Made  up  as  follows  :-","","","","",""
"Head","405","State  Minister  of  Ornamental  Fish,","","",""
"","","","Inland  Fish  and  Prawn  Farming,  Fishery  Harbour  Development,","",""
"","","Multiday  Fishing  Activities  and  Fish  Exports","","",""
"","","Programme  01","Operational  Activities","61,450,000","4,000,000"
"","","Programme  02","Development  Activities","1,395,000,000","371,000,000"
"","","Ministry  of  Tourism","","",""
"","","Recurrent","678,320,000","",""
"","","Capital","244,900,000","",""
