"","","","State  Ministry  of  Provincial  Councils  and  Local  Government","",""
"","","Recurrent","288,608,000,000","",""
"","","Capital","40,500,000,000","",""
"","Made  up  as  follows  :-","","","",""
"Head","420","","State  Minister  of  Provincial  Councils  and  Local  Government","",""
"","","Programme  01","Operational  Activities","308,000,000","44,000,000"
"","","Programme  02","Development  Activities","300,000,000","14,456,000,000"
"Head","312","Western  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","50,008,000,000","-"
"","","Programme  02","Development  Activities","-","2,216,000,000"
"Head 313","","Central  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","37,459,000,000","-"
"","","Programme  02","Development  Activities","-","2,899,000,000"
"Head","314","Southern  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","35,507,000,000","-"
"","","Programme  02","Development  Activities","-","2,712,000,000"
"Head  315","","Northern  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","26,428,000,000","-"
"","","Programme  02","Development  Activities","-","3,208,000,000"
"Head","316","North  Western  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","33,542,000,000","-"
"","","Programme  02","Development  Activities","-","2,688,000,000"
"Head","317","North  Central  Provincial  Council","","",""
"","","Programme  01","Operational  Activities","20,979,000,000","-"
"","","Programme  02","Development  Activities","-","2,951,000,000"
