"","mqkrdj¾;k","12,040,300,000",""
"","u
,Ok","2,069,520,000",""
"","my;  mßÈ  úhoï  ieliS  we;  :—","",""
"YS¾I 1","w;s.re  ckdêm;s","","2020  wxl  7  ork  úi¾ck  mk;"
"","jevigyk  01  fufyhqï  jevigyk","2,593,180,000                     759,000,000",""
"","jevigyk  02  ixj¾Ok  jevigyk","-
              500,000,000",""
"YS¾I  2","w.%dud;H ld¾hd,h","",""
"","jevigyk  01  fufyhqï  jevigyk","902,250,000            149,500,000",""
"YS¾I 4","WmßudêlrKj,  úksYaphldrjre","",""
"","jevigyk  01  fufyhqï  jevigyk","198,850,000             54,150,000",""
"YS¾I 5","wud;H uKav, ld¾hd,h","",""
"","jevigyk  01  fufyhqï  jevigyk","178,550,000             41,100,000",""
"YS¾I  6","rdcH fiajd fldñIka iNd ld¾hd,h","",""
"","jevigyk  01  fufyhqï  jevigyk","233,600,000             13,250,000","7"
