"141","Department  of  Surveyor  General","","","","",""
"","of  Sri  Lanka","","28801 Advances  to  Public  Officers    130,000,000    130,000,000  420,000,000","","","—"
"142","","Department  of  Export  Agriculture 28901 Advances  to  Public  Officers     40,000,000","","35,000,000   140,000,000","","—"
"143","Department  of  Fisheries  and","","","","",""
"","Aquatic  Resources","","29001 Advances  to  Public  Officers     20,000,000     18,000,000   110,000,000","","","—"
"144","Department  of  Coast  Conservation","","","","",""
"","","and  Coastal  Resource  Management 29101 Advances  to  Public  Officers     12,000,000","","8,000,000     45,000,000","","—"
"145","Department  of  Animal  Production","","","","",""
"","and  Health","29201 Advances  to  Public  Officers","35,000,000","24,000,000   130,000,000","","—"
"146","Department  of  Rubber","","","","",""
"","Development","","29301 Advances  to  Public  Officers     20,000,000     18,000,000","","65,000,000","—"
"147","Department  of  National  Zoological","","","","",""
"","Gardens","29401 Advances  to  Public  Officers","","30,000,000     15,000,000   105,000,000","","—"
"148","Department  of  Commerce","29501 Advances  to  Public  Officers","5,000,000","2,500,000","22,000,000","—"
"149","Department  of  Import  and  Export","","","","",""
"","Control","29601 Advances  to  Public  Officers","4,000,000","2,500,000","25,000,000","—"
"150","Department  of  the  Registrar  of","","","","",""
"","Companies","29701 Advances  to  Public  Officers","7,000,000","5,000,000","35,000,000","—"
"151","Department  of  Measurement  Units,","","","","",""
"","Standards  and  Services","29801 Advances  to  Public  Officers","6,000,000","4,000,000","30,000,000","—"
"152","National  Intellectual  Property","","","","",""
"","Office  of  Sri  Lanka","29901 Advances  to  Public  Officers","5,000,000","3,000,000","17,000,000","—"
"153","Department  of  Food  Commissioner","30001 Advances  to  Public  Officers","5,000,000","3,000,000","30,000,000","—"
