"Head  315","","Northern  Provincial  Council","",""
"","","Programme  01
Operational  Activities","28,400,000,000","-"
"","","Programme  02
Development  Activities","-","2,467,000,000"
"Head","316","North  Western  Provincial  Council","",""
"","","Programme  01
Operational  Activities","36,526,000,000","-"
"","","Programme  02
Development  Activities","-","2,265,000,000"
"Head","317","North  Central  Provincial  Council","",""
"","","Programme  01
Operational  Activities","22,601,000,000","-"
"","","Programme  02
Development  Activities","-","2,556,000,000"
"Head","318","Uva  Provincial  Council","",""
"","","Programme  01        Operational  Activities","26,958,000,000","-"
"","","Programme  02        Development  Activities","-","2,753,000,000"
"Head","319","Sabaragamuwa  Provincial  Council","",""
"","","Programme  01        Operational  Activities","33,380,000,000","-"
"","","Programme  02        Development  Activities","-","2,165,000,000"
"Head","321","Eastern  Provincial  Council","",""
"","","Programme  01        Operational  Activities","30,443,000,000","-"
"","","Programme  02        Development  Activities","-","2,540,000,000"
"","","Ministry  of  Plantation  Industries","",""
"","","Recurrent
    4,943,000,000","",""
"","","Capital
10,979,000,000","",""
