"Head","Unit/Ministry/Department","Provision  of  the  Constitution","Expenditure","Recurrent","Capital
Total"
"No.","or  Institution  by  whom","and  Law  under  which","Programme","Expenditure","Expenditure
Expenditure"
"","expenditure  is  incurred","expenditure  is  authorized","","Rs.","Rs.
Rs."
"111 Ministry  of  Health","","Medical  Ordinance","Programme  01-","2,000","—
2,000"
"","","(Chapter  105)","Operational","",""
"","","","Activities","",""
"249","Department  of  Treasury","Foreign  Loans  Act,","Programme  01-        1,334,000,000,000","","1,505,000,000,000 2,839,000,000,000"
"","Operations","No.  29  of  1957","Operational","",""
"","","(Section  2  paragraphs  (a)","Activities","",""
"","","and  (c)),  Local  Treasury  Bills","","",""
"","","Ordinance  (Chapter  417)","","",""
"","","Section  6(1)  of  the","","",""
"","","Active  Liability  Management","","",""
"","","Act,  No.  8  of  2018","","",""
"253","Department  of  Pensions","Widows’  and  Orphans’  Pension","Programme  01-","62,000,000,000","—
62,000,000,000"
"","","Fund  Ordinance  (Chapter  431),","Operational","",""
"","","Widowers’  and","Activities","",""
"","","Orphans’  Pensions  Act,  No.  24","","",""
"","","of  1983,  Widows’  and","","",""
"","","Orphans’  Pension  Scheme","","",""
"","","(Armed  Forces)  Act,  No.  18","","",""
"","","of  1970,  School","","",""
"","","Teachers’  Pensions  Act","","",""
"","","(Chapter  432)","","",""
