"2 1","Minister  of  Finance  Economic","","","","",""
"","Stabilization  and  National  Polices","10201 Advances  to  Public  Officers","20,000,000","15,200,000 133,000,000","","—"
"2 2","Minister  of  Defence","10301 Advances  to  Public  Officers 130,000,000","","67,000,000 355,000,000","","—"
"2 3","Minister  of  Mass  Media","10501 Advances  to  Public  Officers","8,000,000","5,100,000","37,000,000","—"
"2 4","Minister  of  Justice,  Prisons","","","","",""
"","Affairs  and  Constitutional  Reforms","11001 Advances  to  Public  Officers","39,000,000","23,400,000 210,000,000","","—"
"2 5","Minister  of  Health","11101 Advances  to  Public  Officers","1,744,000,000","1,422,500,000","3,525,000,000","—"
"2 6","Foreign  Affairs  Minister","11201 Advances  to  Public  Officers","36,000,000","30,400,000 144,000,000","","—"
"2 7","Minister  of  Trade,  Commerce  and","","","","",""
"","Food  Security","11601 Advances  to  Public  Officers","18,000,000","7,100,000","65,000,000","—"
"2 8","Minister  of  Transport  and","","","","",""
"","Highways","11701 Advances  to  Public  Officers","38,000,000","15,400,000 116,000,000","","—"
"2 9","Minister  of  Agriculture","11801 Advances  to  Public  Officers 111,000,000","","44,000,000 285,000,000","","—"
"3 0","Minister  of  Power  and  Energy","11901 Advances  to  Public  Officers","9,500,000","7,200,000","43,000,000","—"
"3 1","Minister  of  Tourism  and  Lands","12201 Advances  to  Public  Officers","30,000,000","12,500,000 115,000,000","","—"
"3 2","Minister  of  Urban  Development","","","","",""
"","and  Housing","12301 Advances  to  Public  Officers","53,500,000","21,350,000","474,000,000","—"
"3 3","Minister  of  Education","12601 Advances  to  Public  Officers","3,240,000,000","1,637,000,000","4,840,000,000","—"
"3 4","Minister  of  Public  Administration,","","","","",""
"","Home  Affairs,  Provincial  Councils","","","","",""
