"Head","323","Department  of  Legal  Affairs","","",""
"","","Programme  01","Operational  Activities","22,650,000","375,000"
"Head","324","Department  of  Management  Audit","","",""
"","","Programme  01","Operational  Activities","62,990,000","1,150,000"
"Head","329","Department  of  Information  Technology  Management","","",""
"","","Programme  01","Operational  Activities","316,040,000","2,250,000"
"Head","333","Office  of  the  Comptroller  General","","",""
"","","Programme  01","Operational  Activities","35,380,000","230,000"
"","","Ministry  of  Defence","","",""
"","","Recurrent","341,510,381,000","",""
"","","Capital","34,815,250,000","",""
"","Made  up  as  follows  :-","","","",""
"Head","103","Minister  of  Defence","","",""
"","","Programme  01","Operational  Activities","6,778,396,000","7,494,685,000"
"","","Programme  02","Development  Activities","8,173,030,000","3,044,305,000"
"Head","222","Sri  Lanka  Army","","",""
"","","Programme  01","Operational  Activities","191,272,180,000","4,874,000,000"
"Head","223","Sri  Lanka  Navy","","",""
"","","Programme  01","Operational  Activities","58,243,315,000","6,059,940,000"
"Head","224","Sri  Lanka  Air  Force","","",""
"","","Programme  01","Operational  Activitiess","42,847,360,000","12,272,290,000"
