"","","","","Activities of the 
Rs. 
Rs.","Government",""
"","","","","Government","Rs.",""
"","","","","Rs.","",""
"","68","Sri lanka navy","22302","Stores advance account 
       2,500,000,000        3,000,000,000          700,000,000","-","46"
"","","","","(explosive items)","",""
"","69","Sri lanka air force","22401","Advances to Public Officers           450,000,000           265,000,000       1,500,000,000","-",""
"","70","department of police","22501","Advances to Public Officers        1,900,000,000           820,000,000       2,500,000,000","-",""
"5","71","department of immigration and","22601","Advances to Public Officers             35,000,000             42,000,000          180,000,000","-",""
"","","emigration","","","",""
"","72","department of registration of","22701","Advances to Public Officers             45,000,000             45,000,000          230,000,000","-",""
"","","persons","","","",""
"","73","courts administration","22801","Advances to Public Officers           550,000,000           420,000,000       1,900,000,000","-",""
"10","74","Attorney General's Department","22901","Advances to Public Officers             35,000,000             16,000,000          100,000,000","-","Appropriation"
"","75","Legal Draftsman's Department","23001","Advances to Public Officers             10,000,000               3,500,000            20,000,000","-",""
"","76","department of debt conciliation","23101","Advances to Public Officers               5,000,000                  900,000              7,500,000","-",""
"","","board","","","",""
"","77","department of prisons","23201","Advances to Public Officers           145,000,000           110,000,000          319,000,000","-",""
"15","78","department of prisons","23202","prisons industrial and","250,000,000           275,000,000            75,000,000         15,000,000",""
"","","","","agricultural undertakings","",""
"","79","department of Government","23301","Advances to Public Officers             12,000,000               7,000,000            35,000,000","-",""
"","","analyst","","","",""
