"","Head","Unit/Ministry/Department","Provision of the Constitution","Expenditure","Recurrent","Capital Expenditure","Total",""
"","","or Institution by whom","and Law under which","Programme","Expenditure","Rs.","Expenditure",""
"","No.","","","","","","",""
"","","expenditure is incurred","expenditure is authorized","","Rs.","","Rs.",""
"","16","parliament","article  65 of the constitution","programme 01-","","","",""
"","","","","operational","1,500,000","-","1,500,000",""
"","","","","activities","","","",""
"","20","election commission","article  103 of the","programme 01-","","","","38"
"5","","","constitution","operational","6,000,000","-","6,000,000",""
"","","","","activities","","","",""
"","21","National Audit Office","article  153 of the","programme 01-","","","",""
"","","","constitution","operational","1,700,000","-","1,700,000",""
"","","","","activities","","","",""
"10","22","Office of the Parliamentary","article  156 of the","programme 01-","","","",""
"","","commissioner for","constitution","operational","1,700,000","-","1,700,000",""
"","","administration","","activities","","","",""
"","23","audit Service commission","article  153a of the","programme 01-","","","",""
"","","","constitution","operational","5,200,000","-","5,200,000",""
"15","","","","activities","","","",""
"","24","national procurement","article  156b of the","programme 01-","","","",""
"","","commission","constitution","operational","6,000,000","-","6,000,000",""
"","","","","activities","","","",""
"","111","ministry of health and mass","medical ordinance","programme 01-","","","",""
"20","","media","(chapter 105)","operational","","-","2,000",""
"","","","","","2,000","","",""
"","","","","activities","","","",""
