"","No.","or Institution by whom 
and Law under which","Programme","Expenditure","Rs.","Expenditure",""
"","","expenditure is incurred 
expenditure is authorized","","Rs.","","Rs.",""
"","1","his excellency the president  article  36 of the constitution","programme 01-","","","",""
"","","","operational","7,020,000","","7,020,000",""
"","","","","","-","",""
"","","","activities","","","",""
"","4","Judges of the Superior 
article  108 of the","programme 01-","","","",""
"","","courts 
constitution","operational","95,000,000","-","95,000,000",""
"5","","","","","","",""
"","","","activities","","","",""
"","6","Office of the Public Service 
chapter iX of the constitution","programme 01-","","","",""
"","","commission","operational","10,260,000","-","10,260,000",""
"","","","activities","","","",""
"10","7","Judicial Service commission  chapter  Xv a of the","programme 01-","","","",""
"","","constitution","operational","2,700,000","-","2,700,000",""
"","","","activities","","","",""
"","8","national police commission
chapter  Xviii a  of the","programme 01-","","","","37"
"","","constitution","operational","8,100,000","-","8,100,000",""
"15","","","activities","","","",""
"","10","commission  to investigate 
anti-corruption act, no. 9","programme 01-","","","",""
"","","allegations of bribery or 
of  2023","operational","16,800,000","-","16,800,000",""
"","","corruption","activities","","","",""
