"","55","department of Government","21001","Advances to Public Officers             15,000,000             10,000,000            60,000,000 
 -"
"","","information","",""
"","56","department of Government","21101","Advances to Public Officers             40,000,000             53,000,000          250,000,000 
 -"
"","","printing","",""
"5","57","department of examination","21201","Advances to Public Officers             22,000,000             25,000,000            90,000,000 
 -"
"","58","department of educational","21301","Advances to Public Officers             20,000,000             12,000,000            62,000,000 
 -"
"","","publications","",""
"","59","department of educational","21302","printing & publicity and 
     14,500,000,000      14,500,000,000     18,000,000,000  10,000,000,000"
"","","publications","","Sales of publications"
"10","60","department of technical","21501","Advances to Public Officers             60,000,000             42,000,000          220,000,000 
 -"
"","","education and training","",""
"","61","department of Social Services","21601","Appropriation
Advances to Public Officers             26,000,000             20,000,000            90,000,000 
 -"
"","62","department of probation and","21701","Advances to Public Officers             18,000,000             12,000,000            45,000,000 
 -"
"","","childcare Services","",""
"15","63","department of Sports","21901","Advances to Public Officers             15,000,000             11,000,000            53,000,000 
 -"
"","","development","",""
"","64","department of ayurveda","22001","Advances to Public Officers             55,000,000             35,000,000          150,000,000 
 -"
"","65","department of labour","22101","Advances to Public Officers             75,000,000             86,000,000          290,000,000 
 -"
"","66","Sri lanka army","22201","Advances to Public Officers        2,500,000,000        2,300,000,000       4,000,000,000 
 -"
"20","67","Sri lanka navy","22301","45
Advances to Public Officers           550,000,000           360,000,000       1,000,000,000 
 -"
