"","","","","Recurrent","Capital",""
"","Head No.","","","Expenditure","Expenditure",""
"","","","","Rs.","Rs.",""
"","","head  297 department of the registrar of companies","","","",""
"","","programme 01","operational activities","105,000,000","",""
"","","","","","","-"
"","","head  298 department of measurement units, Standards and Services","","","",""
"","","programme 01","operational activities","232,800,000","",""
"","","","","","","-"
"5","","head  299 National Intellectual Property Office of Sri Lanka","","","",""
"","","programme 01","operational activities","84,200,000","",""
"","","","","","","-"
"","","head  300 department of food commissioner","","","",""
"","","programme 01","operational activities","112,000,000","","205,000,000"
"","","head  301 department of co-operative development (registrar of co-operative Societies)","","","",""
"10","","programme 01","operational activities","88,000,000","","26,100,000"
"","","head  302 co-operative employees commission","","","",""
"","","programme 01","operational activities","26,000,000","","900,000"
"","","Ministry of Transport, Highways, Ports and Civil Aviation","","","",""
"","","Recurrent","52,410,000,000","","",""
"15","","Capital","421,000,000,000","","",""
"","made up as follows :-","","","","",""
"","","head  117 minister of transport, highways, ports and civil aviation","","","",""
"","","programme 01","operational activities","1,133,000,000","","57,000,000"
"","","programme 02","development activities","16,070,000,000","389,036,000,000",""
