"","","","","","Government","the Accounts of","Government","Activities of the"
"","","","","","Rs.","Activities of the","Rs.","Government"
"","","","","","","Government","","Rs."
"","","","","","","Rs.","",""
"","1","his excellency the president","00101","Advances to Public Officers","40,000,000","37,000,000","150,000,000","-"
"","2","Office of the Prime Minister","00201","Advances to Public Officers","20,000,000","11,000,000","80,000,000","-"
"","3","Judges of the Superior courts","00401","Advances to Public Officers","1,500,000","300,000","3,000,000","-"
"","4","Office of the Cabinet of","00501","Advances to Public Officers","4,000,000","3,500,000","15,000,000","-"
"5","","ministers","","","","","",""
"","5","Office of the Public Service","00601","Advances to Public Officers","12,000,000","9,000,000","50,000,000","-"
"","","commission","","","","","",""
"","6","Judicial Service commission","00701","Advances to Public Officers","3,000,000","2,500,000","15,000,000","-"
"","7","national police commission","00801","Advances to Public Officers","5,000,000","4,500,000","15,000,000","-"
"","8","administrative appeals tribunal","00901","Advances to Public Officers","2,000,000","700,000","4,000,000","-"
"10","","","","","","","",""
"","9","commission to investigate","01001","Advances to Public Officers","15,000,000","10,000,000","45,000,000","-"
"","","allegations of bribery or","","","","","",""
"","","corruption","","","","","",""
