"Statute No. 05 of 2000 of the Uva Province, Provincial Council as amended by the Library service board (amendment) Statute","",""
"No. 04 of 2017 of the Uva Province, Provincial Council.","",""
"Name & Address","Post","Period"
"Mr. Nihal Gunarathna,","Member  of 
the  Board  of","From 28.01.2025 to 07.11.2025 only."
"Secretary,","Library 
Service 
of  Uva",""
"Ministry of Finance and Planning, Law and","Province.",""
"Peace, Education, Local Government, Land,","",""
"Power and Energy, Construction and Rural","",""
"Infrastructure of Uva Province,","",""
"Uva Provincial Council,","",""
"Badulla.","",""
"Mr. J. M. U. K. Jayasekara,","Member of the Board of","From 28.01.2025 to 07.11.2025 only."
"Secretary,","Library Service of Uva",""
"Ministry of Sports and Youth Affairs,","Province.",""
"Tourism,Transport, Cultural Affairs, Textiles","",""
"and Small Industries of Uva Province,","",""
"Uva Provincial Council,","",""
"Badulla.","",""
