"","Name","Portfolio"
"1.","Hon. Anthonige Anil Jayantha Fernando, M.P.","-  Deputy Minister of Finance and Planning"
"2.","Hon. Tikiri Bandalage Sarath, M.P.","-  Deputy Minister of Housing, Construction and Water Supply"
"3.","Hon. M.M. Mohamad Muneer, M.P.","-  Deputy Minister of Religious and Cultural Affairs"
"4.","Hon. Eranga Gunasekara, M.P.","-  Deputy Minister of Urban Development"
"5.","Hon. Muditha Hansaka Wijemuni, M.P.","-  Deputy Minister of Health"
"6.","Hon. Aravinda Senarath Vitharana, M.P.","-  Deputy Minister of Land and Irrigation"
"7.","Hon. H.M. Dinindu Saman Kumara, M.P.","-  Deputy Minister of Youth Affairs"
"8.","Hon. Kaushalya Ariyarathna, M.P.","-  Deputy Minister of Mass Media"
"9.","Hon. Muhammadu Ilyas Muhammadu Arkam, M.P.","-  Deputy Minister of Power"
"10.","Hon. Ushettige Don Nishantha Jayaweera, M.P.","-  Deputy Minister of Economic Development"
