"Head","Unit/Ministry/Department","Provision of the Constitution","Expenditure","Recurrent","Capital Expenditure","Total",""
"","or Institution by whom","and Law under which","Programme","Expenditure","Rs.","Expenditure",""
"No.","","","","","","",""
"","expenditure is incurred","expenditure is authorized","","Rs.","","Rs.",""
"16","Parliament","Article  65 of the Constitution","Programme 01-","","","",""
"","","","Operational","1,500,000","-","1,500,000",""
"","","","Activities","","","",""
"20","Election Commission","Article  103 of the","Programme 01-","","","","38"
"","","Constitution","Operational","6,000,000","-","6,000,000",""
"","","","Activities","","","",""
"21","National Audit Office","Article  153 of the","Programme 01-","","","",""
"","","Constitution","Operational","1,700,000","-","1,700,000",""
"","","","Activities","","","",""
"22","Office of the Parliamentary","Article  156 of the","Programme 01-","","","",""
"","Commissioner for","Constitution","Operational","1,700,000","-","1,700,000",""
"","Administration","","Activities","","","",""
"23","Audit Service Commission","Article  153A of the","Programme 01-","","","",""
"","","Constitution","Operational","5,200,000","-","5,200,000",""
"","","","Activities","","","",""
"24","National Procurement","Article  156B of the","Programme 01-","","","",""
"","Commission","Constitution","Operational","6,000,000","-","6,000,000",""
"","","","Activities","","","",""
"111","Ministry of Health and Mass","Medical Ordinance","Programme 01-","","","",""
"","Media","(Chapter 105)","Operational","","-","2,000",""
"","","","","2,000","","",""
"","","","Activities","","","",""
