"No.","or Institution by whom","and Law under which","Programme","Expenditure","Rs.","Expenditure",""
"","expenditure is incurred","expenditure is authorized","","Rs.","","Rs.",""
"1","","His Excellency the President  Article  36 of the Constitution","Programme 01-","","","",""
"","","","Operational","7,020,000","","7,020,000",""
"","","","","","-","",""
"","","","Activities","","","",""
"4","Judges of the Superior","Article  108 of the","Programme 01-","","","",""
"","Courts","Constitution","Operational","95,000,000","-","95,000,000",""
"","","","Activities","","","",""
"6","Office of the Public Service","Chapter IX of the Constitution","Programme 01-","","","",""
"","Commission","","Operational","10,260,000","-","10,260,000",""
"","","","Activities","","","",""
"7","Judicial Service Commission  Chapter  XV A of the","","Programme 01-","","","",""
"","","Constitution","Operational","2,700,000","-","2,700,000",""
"","","","Activities","","","",""
"8","National Police Commission","Chapter  XVIII A  of the","Programme 01-","","","","37"
"","","Constitution","Operational","8,100,000","-","8,100,000",""
"","","","Activities","","","",""
"10","Commission  to Investigate","Anti-Corruption Act, No. 9","Programme 01-","","","",""
"","Allegations of Bribery or","of  2023","Operational","16,800,000","-","16,800,000",""
"","Corruption","","Activities","","","",""
